FRAME PROFILE  slowest 100 frames  peer=P0  (ms; sim/route/render are wall-clock THIS frame incl. rollback resim; phase ms summed over the frame's steps)
tick=5372 frame=250 sim=638.499 route=2.4897 render=2.9241 simTicks=27 resim=24 | cmd=0.3027 move=1.4021 vis=13.5417 econ=0.6678 combat=134.002 route=677.842 coll=25.6124 | botsP0=152 botsP1=121 stalled=1
tick=5300 frame=250 sim=215.997 route=1.3484 render=3.0158 simTicks=12 resim=24 | cmd=0.1933 move=0.7665 vis=11.2281 econ=0.4037 combat=102.389 route=520.755 coll=19.2636 | botsP0=159 botsP1=128 stalled=1
tick=5242 frame=250 sim=379.301 route=0.6399 render=3.4295 simTicks=9 resim=24 | cmd=0.1516 move=0.6928 vis=9.4858 econ=0.3686 combat=110.625 route=866.074 coll=18.3157 | botsP0=164 botsP1=132 stalled=1
tick=5323 frame=250 sim=438.979 route=0.9893 render=4.7847 simTicks=12 resim=24 | cmd=0.1953 move=0.7501 vis=11.092 econ=0.5031 combat=96.2324 route=818.134 coll=20.4123 | botsP0=156 botsP1=127 stalled=1
tick=5126 frame=250 sim=589.388 route=1.2364 render=3.4575 simTicks=19 resim=0 | cmd=0.0724 move=0.3956 vis=5.9033 econ=0.2037 combat=71.4672 route=498.516 coll=9.475 | botsP0=171 botsP1=144 stalled=1
tick=5288 frame=250 sim=322.047 route=1.1259 render=4.7711 simTicks=12 resim=24 | cmd=0.1621 move=0.7811 vis=11.1526 econ=0.4235 combat=111.279 route=516.797 coll=20.1051 | botsP0=159 botsP1=129 stalled=1
tick=5265 frame=250 sim=203.211 route=1.237 render=4.0851 simTicks=13 resim=24 | cmd=0.1727 move=0.7668 vis=9.9505 econ=0.4637 combat=115.871 route=525.003 coll=19.9582 | botsP0=162 botsP1=130 stalled=1
tick=5272 frame=250 sim=146.314 route=0.5013 render=5.1631 simTicks=7 resim=24 | cmd=0.1627 move=0.7176 vis=8.684 econ=0.363 combat=106.257 route=536.229 coll=18.289 | botsP0=161 botsP1=130 stalled=1
tick=5215 frame=250 sim=282.035 route=0.7783 render=3.334 simTicks=12 resim=24 | cmd=0.1578 move=0.693 vis=10.0547 econ=0.3866 combat=115.093 route=558.073 coll=18.9688 | botsP0=166 botsP1=134 stalled=1
tick=5102 frame=250 sim=0 route=0 render=5.8316 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 | botsP0=173 botsP1=146 stalled=1
tick=5126 frame=250 sim=0 route=0 render=5.8151 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 | botsP0=171 botsP1=144 stalled=1
tick=5102 frame=250 sim=359.026 route=0.7758 render=3.3214 simTicks=15 resim=0 | cmd=0.0448 move=0.2443 vis=4.3672 econ=0.1406 combat=58.0919 route=286.843 coll=7.1524 | botsP0=173 botsP1=146 stalled=1
tick=5332 frame=250 sim=400.529 route=0.618 render=5.2371 simTicks=8 resim=24 | cmd=0.4303 move=0.6819 vis=9.5605 econ=0.3531 combat=99.3979 route=1328.96 coll=16.5857 | botsP0=155 botsP1=126 stalled=1
tick=5233 frame=250 sim=356.903 route=0.6739 render=3.4704 simTicks=9 resim=24 | cmd=0.1353 move=0.6451 vis=9.1644 econ=0.3729 combat=108.864 route=830.02 coll=17.8795 | botsP0=164 botsP1=133 stalled=1
tick=5163 frame=250 sim=0 route=0 render=6.3495 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 | botsP0=169 botsP1=139 stalled=1
tick=5224 frame=250 sim=166.235 route=0.8103 render=3.3679 simTicks=9 resim=24 | cmd=0.1451 move=0.6759 vis=9.3049 econ=0.36 combat=96.9751 route=542.349 coll=18.112 | botsP0=165 botsP1=134 stalled=1
tick=5083 frame=250 sim=0 route=0 render=5.0228 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 | botsP0=173 botsP1=146 stalled=1
tick=5163 frame=250 sim=369.182 route=0.7969 render=3.4368 simTicks=13 resim=24 | cmd=0.1743 move=0.7864 vis=10.6323 econ=0.3809 combat=122.069 route=724.427 coll=18.8723 | botsP0=169 botsP1=139 stalled=1
tick=5175 frame=250 sim=0 route=0 render=5.7416 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 | botsP0=169 botsP1=139 stalled=1
tick=5345 frame=250 sim=455.8 route=0.9532 render=3.7677 simTicks=13 resim=24 | cmd=0.2043 move=0.8765 vis=9.7723 econ=0.4458 combat=121.634 route=1077.49 coll=22.2812 | botsP0=155 botsP1=124 stalled=1
tick=5175 frame=250 sim=260.423 route=0.5036 render=3.3702 simTicks=8 resim=0 | cmd=0.0371 move=0.1961 vis=2.1274 econ=0.0834 combat=29.6014 route=222.812 coll=4.0919 | botsP0=169 botsP1=139 stalled=1
tick=5150 frame=250 sim=713.511 route=1.5581 render=3.5713 simTicks=20 resim=0 | cmd=0.0749 move=0.384 vis=6.2818 econ=0.1997 combat=65.2462 route=627.444 coll=10.2692 | botsP0=171 botsP1=140 stalled=1
tick=5311 frame=250 sim=382.622 route=0.8015 render=5.102 simTicks=11 resim=24 | cmd=0.2262 move=0.8623 vis=9.3814 econ=0.6066 combat=101.482 route=626.371 coll=23.6895 | botsP0=157 botsP1=127 stalled=1
tick=5272 frame=250 sim=0 route=0 render=11.9713 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 | botsP0=161 botsP1=130 stalled=1
tick=5252 frame=250 sim=92.1508 route=0.9943 render=3.004 simTicks=10 resim=24 | cmd=0.1464 move=0.6955 vis=9.8331 econ=0.402 combat=106.436 route=599.318 coll=19.1083 | botsP0=164 botsP1=131 stalled=1
tick=5083 frame=250 sim=181.749 route=0.6317 render=3.3188 simTicks=11 resim=24 | cmd=0.1012 move=0.5493 vis=11.046 econ=0.3467 combat=133.805 route=185.638 coll=15.6353 | botsP0=173 botsP1=146 stalled=1
tick=5050 frame=250 sim=98.9723 route=0.7555 render=3.1828 simTicks=8 resim=0 | cmd=0.0262 move=0.2151 vis=2.7126 econ=0.0857 combat=28.5035 route=61.0209 coll=3.5634 | botsP0=174 botsP1=147 stalled=1
tick=5324 frame=250 sim=5.1298 route=0.0718 render=3.3047 simTicks=1 resim=24 | cmd=0.1398 move=0.5187 vis=6.7142 econ=0.4223 combat=71.9548 route=972.384 coll=15.9721 | botsP0=156 botsP1=127 stalled=1
tick=5185 frame=250 sim=121.772 route=0.6237 render=3.1337 simTicks=6 resim=0 | cmd=0.0284 move=0.1442 vis=2.0801 econ=0.1151 combat=11.3447 route=103.001 coll=3.2996 | botsP0=167 botsP1=138 stalled=1
tick=5072 frame=235.344 sim=281.311 route=1.0569 render=3.3571 simTicks=18 resim=24 | cmd=0.1326 move=0.7191 vis=14.1457 econ=0.4451 combat=158.295 route=257.856 coll=18.8351 | botsP0=174 botsP1=146 stalled=1
tick=5002 frame=190.722 sim=0 route=0 render=6.1363 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 | botsP0=174 botsP1=147 stalled=1
tick=5015 frame=149.78 sim=0 route=0 render=5.9114 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 | botsP0=174 botsP1=147 stalled=1
tick=5016 frame=135.857 sim=0 route=0 render=3.6131 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 | botsP0=174 botsP1=147 stalled=1
tick=5008 frame=134.123 sim=0 route=0 render=4.9373 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 | botsP0=174 botsP1=147 stalled=1
tick=5018 frame=132.44 sim=0 route=0 render=5.5798 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 | botsP0=174 botsP1=147 stalled=1
tick=5017 frame=132.309 sim=0 route=0 render=4.3609 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 | botsP0=174 botsP1=147 stalled=1
tick=5042 frame=130.696 sim=196.998 route=1.1923 render=4.0941 simTicks=19 resim=24 | cmd=0.1614 move=0.8302 vis=16.1228 econ=0.5367 combat=114.176 route=150.495 coll=23.5184 | botsP0=174 botsP1=147 stalled=0
tick=5015 frame=130.159 sim=34.3948 route=0.2973 render=3.5863 simTicks=2 resim=24 | cmd=0.1557 move=0.4589 vis=12.921 econ=0.4094 combat=58.4872 route=57.143 coll=11.7431 | botsP0=174 botsP1=147 stalled=1
tick=5203 frame=126.852 sim=480.381 route=1.5263 render=3.4398 simTicks=18 resim=24 | cmd=0.1776 move=0.8564 vis=11.5622 econ=0.4497 combat=143.87 route=701.567 coll=22.4528 | botsP0=167 botsP1=136 stalled=1
tick=5023 frame=122.24 sim=9.6716 route=0.0878 render=4.0993 simTicks=2 resim=24 | cmd=0.1392 move=0.4868 vis=10.223 econ=0.3756 combat=65.4963 route=33.3547 coll=12.5048 | botsP0=174 botsP1=147 stalled=1
tick=5010 frame=121.002 sim=0 route=0 render=5.1013 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 | botsP0=174 botsP1=147 stalled=1
tick=5011 frame=114.901 sim=0 route=0 render=3.632 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 | botsP0=174 botsP1=147 stalled=1
tick=4998 frame=114.192 sim=40.7425 route=0.2807 render=5.7005 simTicks=6 resim=0 | cmd=0.0185 move=0.0983 vis=2.794 econ=0.0785 combat=5.3104 route=28.6919 coll=2.6674 | botsP0=174 botsP1=147 stalled=1
tick=5050 frame=103.873 sim=0 route=0 render=5.4071 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 | botsP0=174 botsP1=147 stalled=1
tick=5008 frame=103.589 sim=41.2172 route=0.0861 render=4.153 simTicks=2 resim=24 | cmd=0.1073 move=0.6336 vis=11.6646 econ=0.4452 combat=42.846 route=57.1176 coll=12.1856 | botsP0=174 botsP1=147 stalled=1
tick=5003 frame=102.93 sim=0 route=0 render=6.1849 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 | botsP0=174 botsP1=147 stalled=1
tick=5005 frame=102.327 sim=0 route=0 render=3.7117 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 | botsP0=174 botsP1=147 stalled=1
tick=5004 frame=101.151 sim=0 route=0 render=5.5766 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 | botsP0=174 botsP1=147 stalled=1
tick=5002 frame=92.4839 sim=5.6753 route=0.0849 render=5.2386 simTicks=2 resim=24 | cmd=0.1458 move=0.6736 vis=13.2139 econ=0.3985 combat=27.5847 route=123.57 coll=14.251 | botsP0=174 botsP1=147 stalled=1
tick=4860 frame=53.4265 sim=16.6556 route=0.508 render=3.4301 simTicks=7 resim=0 | cmd=0.0197 move=0.1062 vis=5.4328 econ=0.0968 combat=2.0619 route=4.8715 coll=2.8811 | botsP0=174 botsP1=147 stalled=0
tick=4999 frame=50.6868 sim=2.5349 route=0.0486 render=5.458 simTicks=1 resim=0 | cmd=0.0045 move=0.0206 vis=0.4096 econ=0.0135 combat=0.2588 route=1.1405 coll=0.4886 | botsP0=174 botsP1=147 stalled=1
tick=4981 frame=46.5481 sim=22.9041 route=0.2364 render=3.3207 simTicks=6 resim=5 | cmd=0.0337 move=0.1865 vis=5.3128 econ=0.1751 combat=6.9688 route=18.2874 coll=4.9062 | botsP0=174 botsP1=147 stalled=0
tick=4975 frame=44.2282 sim=29.7408 route=0.1743 render=3.0344 simTicks=5 resim=3 | cmd=0.0419 move=0.1559 vis=3.9705 econ=0.1138 combat=11.1855 route=21.4126 coll=3.9067 | botsP0=174 botsP1=147 stalled=0
tick=4986 frame=42.1687 sim=14.0331 route=0.1837 render=3.2372 simTicks=5 resim=0 | cmd=0.0123 move=0.0739 vis=2.2417 econ=0.0647 combat=1.24 route=7.5419 coll=2.229 | botsP0=174 botsP1=147 stalled=0
tick=4992 frame=34.9387 sim=63.7176 route=0.158 render=5.6297 simTicks=4 resim=15 | cmd=0.085 move=0.3575 vis=8.8127 econ=0.2854 combat=18.6837 route=65.3083 coll=8.4485 | botsP0=174 botsP1=147 stalled=0
tick=4910 frame=31.3592 sim=8.8927 route=0.2383 render=2.859 simTicks=3 resim=0 | cmd=0.0175 move=0.0679 vis=2.2239 econ=0.05 combat=0.8759 route=2.3956 coll=2.6804 | botsP0=174 botsP1=147 stalled=0
tick=4 frame=31.0344 sim=0.6301 route=0.0848 render=1.2176 simTicks=4 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 | botsP0=3 botsP1=3 stalled=0
tick=4970 frame=25.2162 sim=31.7551 route=0.1327 render=3.2208 simTicks=3 resim=2 | cmd=0.0185 move=0.0958 vis=2.4837 econ=0.0694 combat=10.5311 route=23.4945 coll=2.2257 | botsP0=174 botsP1=147 stalled=0
tick=4862 frame=21.1591 sim=4.4811 route=0.0203 render=3.304 simTicks=2 resim=0 | cmd=0.007 move=0.0413 vis=1.5725 econ=0.0301 combat=0.5035 route=1.1924 coll=0.8248 | botsP0=174 botsP1=147 stalled=0
