FRAME PROFILE  slowest 100 frames  peer=P0  (ms; sim/route/render are wall-clock THIS frame incl. rollback resim; phase ms summed over the frame's steps)
tick=4167 frame=250 sim=0 route=0 render=9.8263 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 | botsP0=232 botsP1=203 stalled=1
tick=4215 frame=250 sim=167.271 route=0.4801 render=4.1155 simTicks=7 resim=0 | cmd=0.23 move=0.1313 vis=3.2024 econ=0.0867 combat=20.5144 route=137.078 coll=4.9991 | botsP0=229 botsP1=198 stalled=1
tick=4167 frame=250 sim=406.665 route=0.8868 render=4.2529 simTicks=14 resim=24 | cmd=0.128 move=0.7305 vis=19.8112 econ=0.4799 combat=136.863 route=592.502 coll=25.6365 | botsP0=232 botsP1=203 stalled=1
tick=4153 frame=250 sim=343.669 route=1.0981 render=4.4005 simTicks=17 resim=24 | cmd=0.138 move=0.8073 vis=22.6012 econ=0.5348 combat=154.372 route=408.686 coll=27.0808 | botsP0=232 botsP1=205 stalled=1
tick=4120 frame=250 sim=226.366 route=0.6424 render=4.3202 simTicks=10 resim=24 | cmd=0.1075 move=0.6669 vis=20.8728 econ=0.4415 combat=93.0287 route=253.24 coll=21.8385 | botsP0=233 botsP1=207 stalled=1
tick=4191 frame=250 sim=198.87 route=0.4941 render=4.2361 simTicks=7 resim=0 | cmd=0.0309 move=0.1552 vis=3.8608 econ=0.1047 combat=25.6707 route=162.773 coll=5.0271 | botsP0=230 botsP1=202 stalled=1
tick=4203 frame=250 sim=0 route=0 render=9.8899 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 | botsP0=229 botsP1=200 stalled=1
tick=4224 frame=250 sim=15.1616 route=0.2265 render=3.8371 simTicks=3 resim=0 | cmd=0.0179 move=0.0797 vis=1.5459 econ=0.0412 combat=6.9362 route=3.746 coll=2.1733 | botsP0=229 botsP1=197 stalled=1
tick=4179 frame=250 sim=241.434 route=0.4008 render=4.1446 simTicks=6 resim=0 | cmd=0.0245 move=0.1338 vis=2.9446 econ=0.0775 combat=24.1501 route=208.444 coll=4.4707 | botsP0=231 botsP1=203 stalled=1
tick=4136 frame=250 sim=375.842 route=1.0973 render=4.2269 simTicks=16 resim=24 | cmd=0.1362 move=0.7822 vis=23.5858 econ=0.5067 combat=137.401 route=398.066 coll=25.4585 | botsP0=233 botsP1=205 stalled=1
tick=4110 frame=250 sim=187.008 route=1.423 render=4.6981 simTicks=22 resim=24 | cmd=0.1514 move=0.9242 vis=31.5842 econ=0.6444 combat=84.6174 route=206.271 coll=28.7168 | botsP0=233 botsP1=207 stalled=1
tick=4203 frame=250 sim=262.501 route=0.4427 render=4.1406 simTicks=6 resim=0 | cmd=0.0219 move=0.1322 vis=2.9593 econ=0.0765 combat=24.1817 route=229.923 coll=4.2024 | botsP0=229 botsP1=200 stalled=1
tick=4225 frame=250 sim=0 route=0 render=9.6556 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 | botsP0=229 botsP1=197 stalled=1
tick=4179 frame=246.724 sim=0 route=0 render=10.1909 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 | botsP0=231 botsP1=203 stalled=1
tick=4191 frame=204.423 sim=0 route=0 render=9.9579 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 | botsP0=230 botsP1=202 stalled=1
tick=4215 frame=172.853 sim=0 route=0 render=9.9754 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 | botsP0=229 botsP1=198 stalled=1
tick=4088 frame=132.714 sim=281.596 route=0.8949 render=4.0197 simTicks=16 resim=0 | cmd=0.058 move=0.3353 vis=11.8054 econ=0.237 combat=48.0934 route=208.019 coll=10.1751 | botsP0=234 botsP1=207 stalled=0
tick=4058 frame=109.309 sim=68.9221 route=0.6984 render=4.1251 simTicks=14 resim=0 | cmd=0.0454 move=0.2747 vis=11.8478 econ=0.2227 combat=20.7808 route=25.2123 coll=8.5308 | botsP0=234 botsP1=207 stalled=0
tick=295 frame=103.084 sim=1.3947 route=0.0385 render=29.7946 simTicks=12 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 | botsP0=3 botsP1=3 stalled=0
tick=3941 frame=76.4513 sim=35.0076 route=0.4962 render=4.7022 simTicks=10 resim=0 | cmd=0.0311 move=0.1826 vis=14.4539 econ=0.1633 combat=10.4441 route=2.1743 coll=6.1155 | botsP0=234 botsP1=208 stalled=0
tick=4067 frame=74.9112 sim=41.2048 route=0.5749 render=3.9581 simTicks=9 resim=0 | cmd=0.0291 move=0.1736 vis=7.7249 econ=0.1477 combat=10.1914 route=15.958 coll=5.618 | botsP0=234 botsP1=207 stalled=0
