FRAME PROFILE  slowest 100 frames  peer=P0  (ms; sim/route/render are wall-clock THIS frame incl. rollback resim; phase ms summed over the frame's steps)
tick=4579 frame=250 sim=970.733 route=42.4412 render=4.0522 simTicks=20 resim=24 | cmd=0.1628 move=0.88 vis=19.1278 econ=0.5142 combat=121.569 route=1444.15 coll=18.4862 (field=3.6036 x2324) | botsP0=178 botsP1=194 stalled=1
tick=4682 frame=250 sim=662.15 route=22.5389 render=3.3823 simTicks=14 resim=19 | cmd=0.1236 move=0.673 vis=13.8839 econ=0.3995 combat=100.296 route=1303.38 coll=10.9176 (field=3.2385 x2418) | botsP0=166 botsP1=192 stalled=1
tick=4391 frame=250 sim=184.163 route=9.0983 render=5.3046 simTicks=11 resim=24 | cmd=0.1762 move=0.72 vis=17.3758 econ=0.4319 combat=82.4044 route=286.624 coll=12.6796 (field=0.1776 x349) | botsP0=210 botsP1=195 stalled=1
tick=4530 frame=250 sim=885.845 route=42.087 render=3.5525 simTicks=18 resim=24 | cmd=0.163 move=0.9904 vis=19.6172 econ=0.5514 combat=122.601 route=1359.71 coll=16.9388 (field=3.5363 x2347) | botsP0=190 botsP1=194 stalled=1
tick=4723 frame=250 sim=855.185 route=24.8063 render=4.7789 simTicks=19 resim=24 | cmd=0.3024 move=1.4075 vis=17.8628 econ=0.5965 combat=112.215 route=1349.35 coll=15.6669 (field=0.6825 x2479) | botsP0=165 botsP1=192 stalled=1
tick=4538 frame=250 sim=0 route=0 render=8.754 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0) | botsP0=190 botsP1=194 stalled=1
tick=4442 frame=250 sim=869.288 route=58.8786 render=4.2101 simTicks=23 resim=24 | cmd=0.2612 move=0.9729 vis=20.3727 econ=0.5066 combat=128.558 route=849.048 coll=17.7535 (field=0.3837 x838) | botsP0=201 botsP1=194 stalled=1
tick=4610 frame=250 sim=950.216 route=43.1184 render=5.2117 simTicks=21 resim=24 | cmd=0.1702 move=0.9115 vis=17.3356 econ=0.5574 combat=105.713 route=1427.48 coll=20.5888 (field=3.4553 x2149) | botsP0=174 botsP1=194 stalled=1
tick=4610 frame=250 sim=0 route=0 render=7.6734 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0) | botsP0=174 botsP1=194 stalled=1
tick=4862 frame=250 sim=905.602 route=42.4865 render=3.0881 simTicks=32 resim=24 | cmd=0.2518 move=1.381 vis=21.4925 econ=0.7349 combat=157.877 route=1178.93 coll=21.0078 (field=0.5921 x1431) | botsP0=142 botsP1=191 stalled=0
tick=4586 frame=250 sim=0 route=0 render=8.098 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0) | botsP0=178 botsP1=194 stalled=1
tick=4731 frame=250 sim=0 route=0 render=7.3727 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0) | botsP0=161 botsP1=192 stalled=1
tick=4442 frame=250 sim=0 route=0 render=5.6979 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0) | botsP0=201 botsP1=194 stalled=1
tick=4821 frame=250 sim=1014.72 route=28.4593 render=3.3291 simTicks=21 resim=24 | cmd=0.2446 move=1.1457 vis=17.3918 econ=0.5597 combat=142.106 route=1369.31 coll=16.001 (field=0.6976 x2152) | botsP0=151 botsP1=191 stalled=1
tick=4682 frame=250 sim=0 route=0 render=7.65 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0) | botsP0=166 botsP1=192 stalled=1
tick=4538 frame=250 sim=396.033 route=18.8687 render=3.7136 simTicks=8 resim=24 | cmd=0.1466 move=0.7617 vis=12.4486 econ=0.3594 combat=90.9412 route=1284.88 coll=13.5276 (field=0.6352 x2531) | botsP0=190 botsP1=194 stalled=1
tick=4754 frame=250 sim=1052.11 route=28.2742 render=6.7005 simTicks=21 resim=24 | cmd=0.169 move=1.0073 vis=19.0169 econ=0.5289 combat=143.354 route=1487.71 coll=14.9832 (field=0.6907 x2341) | botsP0=159 botsP1=192 stalled=1
tick=4827 frame=250 sim=0 route=0 render=20.3652 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0) | botsP0=149 botsP1=191 stalled=1
tick=4410 frame=250 sim=411.716 route=30.5014 render=5.17 simTicks=19 resim=24 | cmd=0.1949 move=0.8826 vis=19.8617 econ=0.6778 combat=102.631 route=439.629 coll=15.3187 (field=0.269 x448) | botsP0=207 botsP1=195 stalled=1
tick=4875 frame=250 sim=519.403 route=15.93 render=3.2523 simTicks=13 resim=15 | cmd=0.1434 move=0.6454 vis=9.7735 econ=0.3467 combat=83.9248 route=830.73 coll=9.795 (field=0.6705 x1991) | botsP0=137 botsP1=191 stalled=1
tick=4470 frame=250 sim=1156.63 route=65.5194 render=3.8338 simTicks=25 resim=24 | cmd=0.1823 move=1.4274 vis=20.726 econ=0.544 combat=133.418 route=1210.53 coll=17.9921 (field=3.1508 x1286) | botsP0=196 botsP1=194 stalled=1
tick=4559 frame=250 sim=880.003 route=39.5377 render=4.0985 simTicks=17 resim=24 | cmd=0.1535 move=0.8412 vis=16.5793 econ=0.5342 combat=144.738 route=1390.81 coll=17.3929 (field=3.5458 x2370) | botsP0=185 botsP1=194 stalled=1
tick=4512 frame=250 sim=875.295 route=45.833 render=6.5908 simTicks=18 resim=24 | cmd=0.2812 move=0.9615 vis=16.8778 econ=0.4616 combat=111.285 route=1267.68 coll=16.4845 (field=3.243 x2119) | botsP0=192 botsP1=194 stalled=1
tick=4827 frame=250 sim=284.269 route=8.4877 render=5.0767 simTicks=6 resim=24 | cmd=0.2392 move=1.0664 vis=13.1603 econ=0.4388 combat=85.1049 route=1055.55 coll=11.2117 (field=0.542 x2027) | botsP0=149 botsP1=191 stalled=1
tick=4634 frame=250 sim=899.482 route=35.6117 render=3.8836 simTicks=20 resim=6 | cmd=0.0953 move=0.5459 vis=11.9297 econ=0.3225 combat=67.9418 route=1020.69 coll=9.5617 (field=0.5527 x2158) | botsP0=172 botsP1=193 stalled=1
tick=4909 frame=250 sim=902.257 route=32.2608 render=4.5079 simTicks=30 resim=23 | cmd=0.2699 move=1.2197 vis=19.5668 econ=0.7965 combat=157.591 route=1151.61 coll=18.9818 (field=0.5591 x1516) | botsP0=133 botsP1=191 stalled=0
tick=4923 frame=250 sim=545.674 route=16.8201 render=3.5547 simTicks=14 resim=16 | cmd=0.2087 move=0.8149 vis=10.8731 econ=0.394 combat=105.11 route=970.513 coll=10.4677 (field=3.2646 x2080) | botsP0=132 botsP1=191 stalled=1
tick=4490 frame=250 sim=1017.22 route=52.5462 render=3.7113 simTicks=20 resim=24 | cmd=0.1785 move=0.9881 vis=17.4232 econ=0.5353 combat=151.078 route=1457.41 coll=17.0372 (field=0.5435 x1877) | botsP0=194 botsP1=194 stalled=1
tick=4779 frame=250 sim=208.208 route=3.517 render=3.3147 simTicks=4 resim=24 | cmd=0.192 move=0.8249 vis=11.7383 econ=0.3746 combat=97.615 route=1137.55 coll=9.4452 (field=0.7354 x2426) | botsP0=157 botsP1=191 stalled=1
tick=4923 frame=250 sim=0 route=0 render=12.6108 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0) | botsP0=132 botsP1=191 stalled=1
tick=4800 frame=250 sim=953.515 route=19.2814 render=3.1977 simTicks=20 resim=24 | cmd=0.1725 move=0.8905 vis=16.3881 econ=0.5448 combat=142.311 route=1292.7 coll=14.7883 (field=0.6483 x2173) | botsP0=154 botsP1=191 stalled=1
tick=4775 frame=250 sim=1005.89 route=22.0478 render=5.2843 simTicks=21 resim=24 | cmd=0.1712 move=1.0989 vis=17.1742 econ=0.5888 combat=151.151 route=1362.62 coll=14.4191 (field=0.7043 x2453) | botsP0=157 botsP1=191 stalled=1
tick=4668 frame=250 sim=1241.4 route=50.3898 render=6.1605 simTicks=33 resim=24 | cmd=0.2548 move=1.1636 vis=21.6757 econ=0.6495 combat=155.585 route=1485.77 coll=23.4014 (field=3.1685 x1872) | botsP0=167 botsP1=192 stalled=0
tick=4779 frame=250 sim=0 route=0 render=7.1754 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0) | botsP0=157 botsP1=191 stalled=1
tick=4419 frame=250 sim=237.353 route=18.7265 render=6.4681 simTicks=9 resim=24 | cmd=0.3788 move=0.7729 vis=14.4861 econ=0.4167 combat=86.8648 route=439.784 coll=12.6399 (field=0.3769 x606) | botsP0=206 botsP1=195 stalled=1
tick=4586 frame=250 sim=320.668 route=13.6065 render=3.7873 simTicks=7 resim=24 | cmd=0.1469 move=0.7722 vis=11.9953 econ=0.3557 combat=72.5027 route=1285.16 coll=16.2587 (field=5.9533 x2079) | botsP0=178 botsP1=194 stalled=1
