FRAME PROFILE  slowest 100 frames  peer=P1  (ms; sim/route/render are wall-clock THIS frame incl. rollback resim; phase ms summed over the frame's steps)
tick=4803 frame=250 sim=0 route=0 render=4.3903 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0) | botsP0=152 botsP1=191 stalled=1
tick=4514 frame=250 sim=0 route=0 render=8.9729 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0) | botsP0=192 botsP1=194 stalled=1
tick=4803 frame=250 sim=0 route=0 render=6.0535 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0) | botsP0=152 botsP1=191 stalled=1
tick=4658 frame=250 sim=0 route=0 render=5.9762 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0) | botsP0=167 botsP1=192 stalled=1
tick=4899 frame=250 sim=0 route=0 render=7.7694 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0) | botsP0=135 botsP1=191 stalled=1
tick=4707 frame=250 sim=0 route=0 render=8.0621 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0) | botsP0=165 botsP1=192 stalled=1
tick=4754 frame=250 sim=724.044 route=2.1552 render=3.8954 simTicks=34 resim=0 | cmd=0.1173 move=0.75 vis=13.2969 econ=0.4002 combat=113.424 route=579.196 coll=11.9203 (field=0.8319 x2621) | botsP0=159 botsP1=192 stalled=0
tick=4803 frame=250 sim=0 route=0 render=7.0011 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0) | botsP0=152 botsP1=191 stalled=1
tick=4466 frame=250 sim=0 route=0 render=10.0063 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0) | botsP0=196 botsP1=194 stalled=1
tick=4755 frame=250 sim=0 route=0 render=8.2394 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0) | botsP0=159 botsP1=192 stalled=1
tick=4658 frame=250 sim=0 route=0 render=7.8878 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0) | botsP0=167 botsP1=192 stalled=1
tick=4610 frame=250 sim=0 route=0 render=7.8076 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0) | botsP0=174 botsP1=194 stalled=1
tick=4851 frame=250 sim=75.3126 route=0.2185 render=3.2402 simTicks=4 resim=0 | cmd=0.0138 move=0.0797 vis=1.3825 econ=0.0475 combat=8.7553 route=63.2685 coll=1.177 (field=0.0712 x509) | botsP0=143 botsP1=191 stalled=1
tick=4562 frame=250 sim=0 route=0 render=8.5092 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0) | botsP0=184 botsP1=194 stalled=1
tick=4610 frame=250 sim=0 route=0 render=5.3441 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0) | botsP0=174 botsP1=194 stalled=1
tick=4562 frame=250 sim=0 route=0 render=5.8083 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0) | botsP0=184 botsP1=194 stalled=1
tick=4514 frame=250 sim=0 route=0 render=8.9865 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0) | botsP0=192 botsP1=194 stalled=1
