FRAME PROFILE  slowest 100 frames  peer=P0  (ms; sim/route/render are wall-clock THIS frame incl. rollback resim; phase ms summed over the frame's steps)
ROLLBACK: liveTicks=4608 resimTicks=923 amplification=1.2003x (1.0 = no rollback; 2.0 = sim ran twice per tick of game time)
tick=4390 frame=250 sim=0 route=0 render=7.933 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=156 botsP1=147 stalled=1
tick=4572 frame=250 sim=355.217 route=0.6614 render=3.4213 simTicks=12 resim=0 | cmd=0.0407 move=0.2113 vis=3.0773 econ=0.1367 combat=31.826 route=315.334 coll=2.749 (field=0.1507 x738 prewarm=313.203 x153) | botsP0=135 botsP1=125 stalled=1
tick=4327 frame=250 sim=399.746 route=0.9441 render=3.4594 simTicks=18 resim=24 | cmd=0.1316 move=0.7056 vis=13.4225 econ=0.4306 combat=154.665 route=631.933 coll=10.9327 (field=0.4687 x1937 prewarm=622.91 x238) | botsP0=160 botsP1=150 stalled=1
tick=4490 frame=250 sim=443.015 route=1.048 render=3.301 simTicks=19 resim=24 | cmd=0.1491 move=0.834 vis=12.5983 econ=0.4747 combat=108.539 route=613.176 coll=11.1918 (field=0.3718 x1481 prewarm=605.374 x262) | botsP0=142 botsP1=134 stalled=1
tick=4555 frame=250 sim=202.37 route=0.6736 render=3.1282 simTicks=13 resim=0 | cmd=0.0438 move=0.2296 vis=3.3568 econ=0.1424 combat=34.2363 route=159.192 coll=3.1299 (field=0.2459 x785 prewarm=156.832 x74) | botsP0=136 botsP1=129 stalled=1
tick=4608 frame=250 sim=659.025 route=1.0827 render=3.0627 simTicks=18 resim=24 | cmd=0.1441 move=0.7838 vis=10.5525 econ=0.4935 combat=116.877 route=932.346 coll=10.3808 (field=0.3619 x1430 prewarm=924.73 x414) | botsP0=130 botsP1=122 stalled=1
tick=4502 frame=250 sim=132.273 route=0.8412 render=3.6141 simTicks=12 resim=24 | cmd=0.1275 move=0.7198 vis=10.7574 econ=0.402 combat=92.0294 route=368.067 coll=9.4094 (field=0.3793 x1515 prewarm=361.36 x150) | botsP0=142 botsP1=133 stalled=1
tick=4300 frame=250 sim=437.059 route=0.9275 render=3.4684 simTicks=18 resim=24 | cmd=0.1323 move=0.7051 vis=14.3983 econ=0.4308 combat=168.834 route=562.991 coll=10.5992 (field=0.3113 x1536 prewarm=554.25 x211) | botsP0=161 botsP1=152 stalled=1
tick=4590 frame=250 sim=456.011 route=0.7007 render=3.3362 simTicks=13 resim=0 | cmd=0.0422 move=0.2301 vis=3.2325 econ=0.1451 combat=34.1251 route=412.957 coll=3.1508 (field=0.1823 x757 prewarm=410.852 x196) | botsP0=131 botsP1=124 stalled=1
tick=298 frame=250 sim=3.7471 route=0.0899 render=1.1217 simTicks=27 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=3 botsP1=3 stalled=1
tick=4421 frame=250 sim=317.536 route=0.6779 render=3.3682 simTicks=11 resim=0 | cmd=0.0362 move=0.2207 vis=3.2455 econ=0.1186 combat=31.5499 route=277.607 coll=3.0795 (field=0.211 x835 prewarm=275.319 x104) | botsP0=153 botsP1=144 stalled=1
tick=4309 frame=250 sim=361.243 route=0.5061 render=3.7749 simTicks=9 resim=24 | cmd=0.1064 move=0.5987 vis=11.1624 econ=0.3421 combat=132.706 route=803.006 coll=8.4809 (field=4.0874 x1773 prewarm=792.332 x301) | botsP0=161 botsP1=152 stalled=1
tick=4390 frame=250 sim=390.168 route=0.9792 render=3.7941 simTicks=16 resim=24 | cmd=0.1409 move=0.6968 vis=12.1953 econ=0.4356 combat=142.227 route=746.752 coll=10.8161 (field=0.3456 x1884 prewarm=738.089 x286) | botsP0=156 botsP1=147 stalled=1
tick=4519 frame=250 sim=368.721 route=0.9671 render=3.1569 simTicks=17 resim=24 | cmd=0.1574 move=0.8509 vis=11.7815 econ=0.484 combat=103.573 route=513.268 coll=10.9498 (field=2.9263 x1470 prewarm=503.143 x220) | botsP0=141 botsP1=132 stalled=1
tick=4471 frame=250 sim=480.192 route=1.0668 render=3.2897 simTicks=17 resim=24 | cmd=0.1364 move=0.747 vis=11.9494 econ=0.4716 combat=123.08 route=661.909 coll=10.4667 (field=0.4402 x1548 prewarm=654.238 x260) | botsP0=144 botsP1=136 stalled=1
tick=4454 frame=250 sim=375.005 route=0.7378 render=3.3034 simTicks=12 resim=0 | cmd=0.0403 move=0.2378 vis=3.5381 econ=0.1346 combat=41.4345 route=324.512 coll=3.0047 (field=0.1671 x802 prewarm=322.293 x128) | botsP0=147 botsP1=139 stalled=1
tick=4357 frame=250 sim=464.812 route=0.7352 render=3.4396 simTicks=13 resim=24 | cmd=0.1194 move=0.6339 vis=11.8543 econ=0.4012 combat=142.989 route=873.601 coll=10.3308 (field=0.4303 x1845 prewarm=865.316 x330) | botsP0=156 botsP1=149 stalled=1
tick=4344 frame=250 sim=534.859 route=0.9174 render=3.9141 simTicks=17 resim=24 | cmd=0.125 move=0.7004 vis=12.8565 econ=0.4212 combat=152.038 route=701.448 coll=10.7692 (field=0.3999 x1825 prewarm=693.136 x261) | botsP0=159 botsP1=149 stalled=1
tick=4421 frame=250 sim=0 route=0 render=7.9664 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=153 botsP1=144 stalled=1
tick=4437 frame=250 sim=363.433 route=0.6447 render=3.6057 simTicks=11 resim=0 | cmd=0.039 move=0.2278 vis=3.2898 econ=0.1269 combat=35.8515 route=318.889 coll=3.0571 (field=0.1706 x822 prewarm=316.401 x121) | botsP0=150 botsP1=142 stalled=1
tick=4572 frame=250 sim=0 route=0 render=6.9652 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=135 botsP1=125 stalled=1
tick=4374 frame=250 sim=522.384 route=1.0103 render=3.4691 simTicks=17 resim=24 | cmd=0.1404 move=0.7246 vis=13.0641 econ=0.4502 combat=156.57 route=771.322 coll=11.2566 (field=0.4325 x1865 prewarm=762.525 x292) | botsP0=156 botsP1=147 stalled=1
tick=4405 frame=250 sim=237.041 route=0.55 render=3.3775 simTicks=10 resim=0 | cmd=0.0321 move=0.1705 vis=2.9657 econ=0.1013 combat=23.2443 route=206.176 coll=2.605 (field=0.1276 x799 prewarm=204.172 x79) | botsP0=156 botsP1=145 stalled=1
tick=4437 frame=250 sim=0 route=0 render=7.8734 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=150 botsP1=142 stalled=1
tick=4537 frame=250 sim=0 route=0 render=6.812 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=140 botsP1=130 stalled=1
tick=4519 frame=250 sim=0 route=0 render=7.2104 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=141 botsP1=132 stalled=1
tick=4405 frame=241.918 sim=0 route=0 render=7.2766 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=156 botsP1=145 stalled=1
tick=4282 frame=239.662 sim=522.794 route=0.9415 render=4.5211 simTicks=21 resim=15 | cmd=0.1052 move=0.5743 vis=12.6028 econ=0.3633 combat=144.085 route=455.527 coll=9.0186 (field=0.2278 x883 prewarm=448.116 x167) | botsP0=164 botsP1=153 stalled=1
tick=4555 frame=207.2 sim=0 route=0 render=7.6482 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=136 botsP1=129 stalled=1
tick=4537 frame=200.804 sim=277.061 route=0.6795 render=3.3266 simTicks=13 resim=0 | cmd=0.0395 move=0.2399 vis=3.6988 econ=0.1423 combat=24.9213 route=242.763 coll=3.2645 (field=0.2082 x809 prewarm=240.48 x108) | botsP0=140 botsP1=130 stalled=1
tick=367 frame=96.4096 sim=12.6214 route=0.0425 render=31.5644 simTicks=11 resim=0 | cmd=0.0402 move=0.0963 vis=1.0833 econ=0.0581 combat=8.6703 route=0.3885 coll=0.392 (field=0 x0 prewarm=0.0193 x0) | botsP0=3 botsP1=3 stalled=0
tick=4261 frame=80.8075 sim=124.49 route=0.5643 render=3.3435 simTicks=9 resim=18 | cmd=0.0771 move=0.4306 vis=9.3895 econ=0.2702 combat=97.5383 route=117.091 coll=6.5437 (field=0.041 x141 prewarm=111.822 x41) | botsP0=165 botsP1=153 stalled=0
tick=4252 frame=65.1188 sim=76.5318 route=0.3248 render=3.3429 simTicks=8 resim=0 | cmd=0.0224 move=0.1251 vis=2.7506 econ=0.0797 combat=32.2958 route=38.0526 coll=1.987 (field=0.0107 x13 prewarm=36.3507 x13) | botsP0=165 botsP1=153 stalled=0
tick=373 frame=45.3468 sim=4.4957 route=0.0366 render=2.1591 simTicks=6 resim=0 | cmd=0.0303 move=0.0853 vis=0.2556 econ=0.0425 combat=1.8378 route=0.3819 coll=0.4104 (field=0 x0 prewarm=0.0119 x0) | botsP0=3 botsP1=3 stalled=0
tick=4241 frame=42.6916 sim=20.4763 route=0.2305 render=4.1591 simTicks=5 resim=0 | cmd=0.015 move=0.0823 vis=1.7917 econ=0.0489 combat=12.8492 route=3.8447 coll=1.1551 (field=0.0004 x3 prewarm=2.9864 x1) | botsP0=165 botsP1=153 stalled=0
tick=4232 frame=40.0679 sim=26.3145 route=0.2063 render=3.7051 simTicks=5 resim=0 | cmd=0.0133 move=0.0773 vis=1.827 econ=0.0508 combat=7.0554 route=15.1285 coll=1.3926 (field=0.0112 x6 prewarm=14.0221 x5) | botsP0=165 botsP1=153 stalled=0
tick=4095 frame=35.2392 sim=7.0885 route=0.0323 render=4.2871 simTicks=4 resim=5 | cmd=0.0284 move=0.1708 vis=7.3598 econ=0.1426 combat=4.064 route=1.5698 coll=2.3965 (field=0.0015 x16 prewarm=0.0388 x0) | botsP0=165 botsP1=153 stalled=0
tick=4227 frame=34.9993 sim=23.6009 route=0.1764 render=3.2173 simTicks=4 resim=4 | cmd=0.0286 move=0.1352 vis=3.0347 econ=0.0852 combat=17.2645 route=12.4764 coll=1.9334 (field=0.003 x12 prewarm=11.1653 x4) | botsP0=165 botsP1=153 stalled=0
tick=4236 frame=30.6754 sim=7.7339 route=0.1887 render=3.2022 simTicks=4 resim=11 | cmd=0.0433 move=0.2435 vis=5.5586 econ=0.1579 combat=21.2382 route=5.6879 coll=3.6898 (field=0.006 x18 prewarm=2.958 x1) | botsP0=165 botsP1=153 stalled=0
tick=529 frame=29.048 sim=2.2068 route=0.0253 render=1.6472 simTicks=3 resim=0 | cmd=0.0154 move=0.0385 vis=0.1497 econ=0.0246 combat=0.9216 route=0.2166 coll=0.2153 (field=0 x0 prewarm=0.0069 x0) | botsP0=3 botsP1=3 stalled=0
tick=4223 frame=28.1962 sim=21.3297 route=0.181 render=3.4498 simTicks=3 resim=3 | cmd=0.0233 move=0.1114 vis=2.6039 econ=0.0711 combat=13.3265 route=12.2783 coll=1.524 (field=0.0025 x9 prewarm=11.2314 x4) | botsP0=165 botsP1=153 stalled=0
tick=4244 frame=25.2205 sim=17.6611 route=0.1434 render=3.2726 simTicks=3 resim=16 | cmd=0.0549 move=0.3095 vis=6.7927 econ=0.2048 combat=40.2461 route=6.2767 coll=4.7373 (field=0.0049 x16 prewarm=2.8253 x1) | botsP0=165 botsP1=153 stalled=0
tick=4098 frame=22.981 sim=5.898 route=0.0232 render=3.3492 simTicks=3 resim=0 | cmd=0.0086 move=0.0466 vis=2.3012 econ=0.0388 combat=2.0059 route=0.359 coll=0.6778 (field=0 x0 prewarm=0.0102 x0) | botsP0=165 botsP1=153 stalled=0
tick=482 frame=21.1559 sim=1.2895 route=0.0149 render=4.5847 simTicks=2 resim=0 | cmd=0.0097 move=0.0267 vis=0.0939 econ=0.0134 combat=0.5186 route=0.1049 coll=0.1062 (field=0 x0 prewarm=0.0045 x0) | botsP0=3 botsP1=3 stalled=0
tick=2 frame=20.4904 sim=0.5585 route=0.037 render=4.0633 simTicks=2 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=3 botsP1=3 stalled=0
tick=425 frame=20.349 sim=1.8836 route=0.0226 render=1.2331 simTicks=3 resim=0 | cmd=0.0117 move=0.0363 vis=0.1228 econ=0.0227 combat=0.7563 route=0.1557 coll=0.1623 (field=0 x0 prewarm=0.006 x0) | botsP0=3 botsP1=3 stalled=0
tick=4201 frame=18.6377 sim=4.5553 route=0.0975 render=4.8693 simTicks=2 resim=3 | cmd=0.0187 move=0.0893 vis=2.3518 econ=0.0694 combat=2.1007 route=1.9043 coll=1.2446 (field=0.0022 x10 prewarm=0.018 x0) | botsP0=165 botsP1=153 stalled=0
tick=3541 frame=17.6745 sim=3.9685 route=0.0157 render=3.7454 simTicks=2 resim=0 | cmd=0.0064 move=0.0515 vis=1.2838 econ=0.0302 combat=0.8217 route=0.1456 coll=0.4055 (field=0 x0 prewarm=0.0064 x0) | botsP0=165 botsP1=87 stalled=0
tick=3739 frame=17.5996 sim=6.3666 route=0.0169 render=4.6925 simTicks=2 resim=0 | cmd=0.0058 move=0.0653 vis=1.5679 econ=0.0517 combat=3.511 route=0.1682 coll=0.4414 (field=0 x0 prewarm=0.0076 x0) | botsP0=165 botsP1=153 stalled=0
tick=3613 frame=17.5592 sim=4.1099 route=0.0152 render=3.7717 simTicks=2 resim=0 | cmd=0.0065 move=0.0335 vis=1.453 econ=0.0405 combat=1.1859 route=0.5233 coll=0.5322 (field=0 x0 prewarm=0.0059 x0) | botsP0=165 botsP1=111 stalled=0
tick=377 frame=17.0718 sim=1.9008 route=0.0209 render=1.4347 simTicks=3 resim=0 | cmd=0.0116 move=0.0381 vis=0.1397 econ=0.0193 combat=0.7386 route=0.1491 coll=0.161 (field=0 x0 prewarm=0.0056 x0) | botsP0=3 botsP1=3 stalled=0
tick=3558 frame=16.6985 sim=2.7894 route=0.0173 render=4.06 simTicks=2 resim=0 | cmd=0.0059 move=0.0307 vis=1.0719 econ=0.0292 combat=0.6364 route=0.1484 coll=0.4164 (field=0 x0 prewarm=0.0057 x0) | botsP0=165 botsP1=93 stalled=0
tick=3597 frame=16.5469 sim=2.8028 route=0.0142 render=4.4743 simTicks=2 resim=0 | cmd=0.0058 move=0.0295 vis=1.2062 econ=0.0368 combat=0.6375 route=0.138 coll=0.4349 (field=0 x0 prewarm=0.0051 x0) | botsP0=165 botsP1=105 stalled=0
tick=4174 frame=16.208 sim=3.879 route=0.0916 render=3.1709 simTicks=2 resim=3 | cmd=0.0164 move=0.0824 vis=2.7771 econ=0.1146 combat=2.0595 route=0.9626 coll=1.2079 (field=0.0016 x8 prewarm=0.0181 x0) | botsP0=165 botsP1=153 stalled=0
tick=3669 frame=16.1161 sim=2.9481 route=0.019 render=4.7244 simTicks=2 resim=0 | cmd=0.0061 move=0.0307 vis=1.3605 econ=0.0335 combat=0.5654 route=0.176 coll=0.413 (field=0 x0 prewarm=0.0057 x0) | botsP0=165 botsP1=129 stalled=0
tick=136 frame=16.0091 sim=0.2368 route=0.0098 render=1.2676 simTicks=1 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=3 botsP1=3 stalled=0
tick=3723 frame=15.9806 sim=2.9684 route=0.0167 render=4.9517 simTicks=2 resim=0 | cmd=0.0059 move=0.0311 vis=1.4399 econ=0.0359 combat=0.5527 route=0.1465 coll=0.4305 (field=0 x0 prewarm=0.0055 x0) | botsP0=165 botsP1=147 stalled=0
