FRAME PROFILE  slowest 100 frames  peer=P0  (ms; sim/route/render are wall-clock THIS frame incl. rollback resim; phase ms summed over the frame's steps)
ROLLBACK: liveTicks=6201 resimTicks=0 amplification=1x (1.0 = no rollback; 2.0 = sim ran twice per tick of game time)
tick=5638 frame=93.4115 sim=5.7043 route=0.2814 render=4.4115 simTicks=3 resim=0 | cmd=0.0119 move=0.0595 vis=1.4275 econ=0.0493 combat=0.9751 route=1.3317 coll=1.4188 (field=0.002 x3 prewarm=0.0156 x0) | botsP0=463 botsP1=3 stalled=1
tick=5635 frame=91.7834 sim=85.6476 route=1.0166 render=4.0955 simTicks=11 resim=0 | cmd=0.037 move=0.2089 vis=5.351 econ=0.1947 combat=16.9144 route=56.2181 coll=5.1127 (field=0.0342 x132 prewarm=51.3151 x19) | botsP0=463 botsP1=3 stalled=0
tick=5624 frame=66.903 sim=85.5447 route=0.7843 render=4.1456 simTicks=8 resim=0 | cmd=0.029 move=0.163 vis=4.0322 econ=0.1327 combat=16.0574 route=59.8301 coll=4.075 (field=0.0399 x171 prewarm=55.5844 x20) | botsP0=463 botsP1=3 stalled=0
tick=5610 frame=56.2812 sim=47.5522 route=0.6736 render=4.0413 simTicks=7 resim=0 | cmd=0.0232 move=0.1333 vis=3.2763 econ=0.118 combat=8.1494 route=31.3418 coll=3.3951 (field=0.0261 x240 prewarm=28.0012 x10) | botsP0=463 botsP1=3 stalled=0
tick=5616 frame=53.2085 sim=60.708 route=0.561 render=4.0949 simTicks=6 resim=0 | cmd=0.0225 move=0.1174 vis=2.9684 econ=0.122 combat=11.9665 route=41.697 coll=2.89 (field=0.019 x109 prewarm=38.9117 x14) | botsP0=463 botsP1=3 stalled=0
tick=5648 frame=42.8287 sim=36.6685 route=0.4747 render=3.944 simTicks=5 resim=0 | cmd=0.0168 move=0.0963 vis=2.4232 econ=0.089 combat=9.4602 route=21.3372 coll=2.4275 (field=0.0067 x16 prewarm=18.9638 x7) | botsP0=463 botsP1=3 stalled=0
tick=5652 frame=41.4351 sim=7.3501 route=0.3527 render=3.8708 simTicks=4 resim=0 | cmd=0.0147 move=0.0812 vis=1.9001 econ=0.0678 combat=1.1898 route=1.7069 coll=1.7951 (field=0.0085 x21 prewarm=0.0249 x0) | botsP0=463 botsP1=3 stalled=1
tick=5672 frame=39.0601 sim=10.7039 route=0.2082 render=4.0015 simTicks=2 resim=0 | cmd=0.0084 move=0.0488 vis=1.299 econ=0.0358 combat=4.5142 route=3.5056 coll=0.9642 (field=0.0023 x2 prewarm=2.6907 x1) | botsP0=463 botsP1=3 stalled=1
tick=5802 frame=34.9075 sim=18.7464 route=0.4011 render=4.0468 simTicks=4 resim=0 | cmd=0.0147 move=0.0835 vis=2.1097 econ=0.0849 combat=7.3942 route=6.7283 coll=1.6345 (field=0.0051 x4 prewarm=5.6699 x2) | botsP0=463 botsP1=2 stalled=0
tick=5813 frame=32.8351 sim=11.7192 route=0.4278 render=4.1542 simTicks=4 resim=0 | cmd=0.0155 move=0.0787 vis=2.1198 econ=0.0813 combat=3.4102 route=3.7555 coll=1.6243 (field=0.0024 x2 prewarm=2.7123 x1) | botsP0=463 botsP1=2 stalled=0
tick=5715 frame=31.8918 sim=19.5778 route=0.3038 render=3.8209 simTicks=3 resim=0 | cmd=0.0101 move=0.0579 vis=1.4712 econ=0.0557 combat=6.5574 route=9.5023 coll=1.4227 (field=0.0042 x7 prewarm=8.2013 x3) | botsP0=463 botsP1=3 stalled=1
tick=5603 frame=31.5853 sim=51.2122 route=0.3699 render=3.8996 simTicks=4 resim=0 | cmd=0.0137 move=0.0773 vis=1.8375 econ=0.0642 combat=8.8094 route=37.2306 coll=2.3629 (field=0.0281 x211 prewarm=34.8316 x13) | botsP0=463 botsP1=3 stalled=0
tick=5973 frame=27.9928 sim=10.8996 route=0.2697 render=3.9492 simTicks=3 resim=0 | cmd=0.0099 move=0.056 vis=1.5988 econ=0.0558 combat=7.0363 route=0.575 coll=1.1021 (field=0 x0 prewarm=0.0134 x0) | botsP0=463 botsP1=0 stalled=0
tick=6013 frame=27.2096 sim=13.6838 route=0.2055 render=3.7635 simTicks=3 resim=0 | cmd=0.0095 move=0.0563 vis=1.5796 econ=0.055 combat=6.8953 route=3.4149 coll=1.1582 (field=0.0004 x1 prewarm=2.8397 x1) | botsP0=463 botsP1=0 stalled=0
tick=6186 frame=26.5773 sim=11.2386 route=0.2988 render=4.0829 simTicks=3 resim=0 | cmd=0.0112 move=0.058 vis=1.6738 econ=0.0721 combat=6.9761 route=0.6842 coll=1.2134 (field=0 x0 prewarm=0.0126 x0) | botsP0=463 botsP1=0 stalled=0
tick=5723 frame=25.8112 sim=6.0098 route=0.3185 render=4.0188 simTicks=3 resim=0 | cmd=0.0142 move=0.0891 vis=1.879 econ=0.0561 combat=0.9472 route=1.1652 coll=1.3497 (field=0.001 x1 prewarm=0.0154 x0) | botsP0=463 botsP1=3 stalled=0
tick=6039 frame=25.0541 sim=5.4267 route=0.2269 render=3.8217 simTicks=3 resim=0 | cmd=0.0095 move=0.0554 vis=1.6179 econ=0.0548 combat=1.1315 route=0.6213 coll=1.336 (field=0 x0 prewarm=0.0128 x0) | botsP0=463 botsP1=0 stalled=0
