FRAME PROFILE  slowest 100 frames  peer=P1  (ms; sim/route/render are wall-clock THIS frame incl. rollback resim; phase ms summed over the frame's steps)
ROLLBACK: liveTicks=6260 resimTicks=2312 amplification=1.36933x (1.0 = no rollback; 2.0 = sim ran twice per tick of game time)
tick=5641 frame=250 sim=123.24 route=0.0774 render=7.37 simTicks=13 resim=18 | cmd=0.1543 move=0.6841 vis=17.1358 econ=0.5437 combat=56.7146 route=142.203 coll=17.6324 (field=1.7729 x6140 prewarm=125.42 x44) | botsP0=463 botsP1=3 stalled=1
tick=5890 frame=250 sim=25.7852 route=0.0651 render=6.7976 simTicks=11 resim=24 | cmd=0.3487 move=0.9954 vis=26.2161 econ=0.8574 combat=46.0691 route=84.3418 coll=18.0063 (field=0.9017 x3529 prewarm=71.7817 x25) | botsP0=463 botsP1=1 stalled=1
tick=5827 frame=250 sim=36.539 route=0.145 render=4.4349 simTicks=14 resim=20 | cmd=0.191 move=0.9834 vis=26.78 econ=0.8761 combat=41.6165 route=71.104 coll=18.5306 (field=1.423 x3781 prewarm=59.0203 x20) | botsP0=463 botsP1=2 stalled=1
tick=6055 frame=250 sim=30.498 route=0.1406 render=5.807 simTicks=15 resim=24 | cmd=0.134 move=0.769 vis=27.8248 econ=0.8438 combat=43.6743 route=43.279 coll=15.4568 (field=0.4262 x3376 prewarm=30.0729 x11) | botsP0=463 botsP1=0 stalled=1
tick=6040 frame=250 sim=198.835 route=0.1513 render=3.8103 simTicks=33 resim=24 | cmd=0.2382 move=1.1839 vis=38.3891 econ=1.1973 combat=119.18 route=121.998 coll=23.0129 (field=0.3089 x3398 prewarm=102.009 x37) | botsP0=463 botsP1=0 stalled=1
tick=5648 frame=250 sim=67.9164 route=0.0503 render=6.0391 simTicks=7 resim=24 | cmd=0.1166 move=0.6552 vis=17.4431 econ=0.6236 combat=55.7993 route=111.216 coll=17.7193 (field=1.3532 x6020 prewarm=89.7028 x32) | botsP0=463 botsP1=3 stalled=1
tick=5691 frame=250 sim=15.5086 route=0.0586 render=7.3868 simTicks=7 resim=24 | cmd=0.127 move=0.7272 vis=19.5823 econ=1.1637 combat=51.0826 route=133.209 coll=18.1965 (field=0.7491 x5471 prewarm=117.358 x43) | botsP0=463 botsP1=3 stalled=1
tick=5744 frame=240.641 sim=19.433 route=0.0514 render=5.0608 simTicks=8 resim=24 | cmd=0.6716 move=0.9928 vis=29.7777 econ=0.688 combat=25.6455 route=12.7655 coll=16.1589 (field=0.8285 x4746 prewarm=0.754 x0) | botsP0=463 botsP1=2 stalled=1
tick=5699 frame=238.531 sim=20.424 route=0.0548 render=4.6107 simTicks=8 resim=24 | cmd=0.1961 move=0.8313 vis=22.9615 econ=0.6942 combat=34.822 route=41.856 coll=15.9501 (field=0.4965 x5205 prewarm=27.6964 x10) | botsP0=463 botsP1=3 stalled=1
tick=5813 frame=235.41 sim=185.407 route=0.225 render=5.2621 simTicks=33 resim=12 | cmd=0.1862 move=1.0467 vis=28.9581 econ=1.0298 combat=78.1536 route=104.788 coll=20.8052 (field=0.9914 x3147 prewarm=85.3873 x31) | botsP0=463 botsP1=2 stalled=0
tick=6007 frame=233.585 sim=130.547 route=0.0847 render=4.334 simTicks=15 resim=24 | cmd=0.169 move=0.7928 vis=24.4232 econ=0.7443 combat=75.9329 route=134.677 coll=15.4974 (field=0.8532 x2233 prewarm=120.791 x44) | botsP0=463 botsP1=0 stalled=1
