FRAME PROFILE  slowest 100 frames  peer=P0  (ms; sim/route/render are wall-clock THIS frame incl. rollback resim; phase ms summed over the frame's steps)
ROLLBACK: liveTicks=175 resimTicks=0 amplification=1x (1.0 = no rollback; 2.0 = sim ran twice per tick of game time)
tick=175 frame=119.272 sim=0 route=0 render=1.2127 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=3 botsP1=3 stalled=1
tick=159 frame=27.1564 sim=1.4555 route=0.0248 render=2.1647 simTicks=1 resim=0 | cmd=0.041 move=0.0388 vis=0.1034 econ=0.012 combat=0.6943 route=0.1093 coll=0.0792 (field=0 x0 prewarm=0.0042 x0) | botsP0=3 botsP1=3 stalled=0
tick=35 frame=26.5204 sim=0.2206 route=0.0058 render=1.2096 simTicks=1 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=3 botsP1=3 stalled=0
tick=110 frame=26.4921 sim=0.2037 route=0.0056 render=1.3012 simTicks=1 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=3 botsP1=3 stalled=0
tick=97 frame=26.3884 sim=0.2183 route=0.0057 render=1.3905 simTicks=1 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=3 botsP1=3 stalled=0
tick=173 frame=26.3076 sim=0.6212 route=0.0079 render=1.0331 simTicks=1 resim=0 | cmd=0.0046 move=0.0125 vis=0.0457 econ=0.0078 combat=0.262 route=0.0526 coll=0.0432 (field=0 x0 prewarm=0.0031 x0) | botsP0=3 botsP1=3 stalled=0
tick=78 frame=26.2858 sim=0.2228 route=0.0064 render=1.4029 simTicks=1 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=3 botsP1=3 stalled=0
tick=166 frame=26.266 sim=0.7065 route=0.0109 render=1.081 simTicks=1 resim=0 | cmd=0.005 move=0.0141 vis=0.05 econ=0.0067 combat=0.3177 route=0.0547 coll=0.0545 (field=0 x0 prewarm=0.0036 x0) | botsP0=3 botsP1=3 stalled=0
tick=87 frame=26.1971 sim=0.1918 route=0.0069 render=1.0884 simTicks=1 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=3 botsP1=3 stalled=0
tick=1 frame=26.1892 sim=0.2054 route=0.0292 render=1.6511 simTicks=1 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=3 botsP1=3 stalled=0
tick=135 frame=26.1797 sim=0.8056 route=0.0058 render=1.3947 simTicks=1 resim=0 | cmd=0.0042 move=0.0125 vis=0.0577 econ=0.0072 combat=0.3633 route=0.0571 coll=0.0512 (field=0 x0 prewarm=0.0036 x0) | botsP0=3 botsP1=3 stalled=0
tick=117 frame=26.1708 sim=0.1814 route=0.0057 render=1.5287 simTicks=1 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=3 botsP1=3 stalled=0
tick=148 frame=26.08 sim=0.6447 route=0.0062 render=1.5762 simTicks=1 resim=0 | cmd=0.0047 move=0.0122 vis=0.0547 econ=0.0057 combat=0.2795 route=0.0578 coll=0.0529 (field=0 x0 prewarm=0.003 x0) | botsP0=3 botsP1=3 stalled=0
tick=152 frame=25.9812 sim=0.6885 route=0.0059 render=1.3778 simTicks=1 resim=0 | cmd=0.0039 move=0.012 vis=0.0636 econ=0.0056 combat=0.2791 route=0.086 coll=0.0533 (field=0 x0 prewarm=0.0019 x0) | botsP0=3 botsP1=3 stalled=0
tick=122 frame=25.9408 sim=0.6725 route=0.006 render=1.352 simTicks=1 resim=0 | cmd=0.0046 move=0.0118 vis=0.0579 econ=0.0066 combat=0.2796 route=0.0641 coll=0.0446 (field=0 x0 prewarm=0.0059 x0) | botsP0=3 botsP1=3 stalled=0
tick=156 frame=25.9284 sim=0.6224 route=0.0059 render=0.9452 simTicks=1 resim=0 | cmd=0.0036 move=0.0107 vis=0.0514 econ=0.0058 combat=0.288 route=0.0639 coll=0.0467 (field=0 x0 prewarm=0.002 x0) | botsP0=3 botsP1=3 stalled=0
tick=64 frame=25.9056 sim=0.2189 route=0.007 render=1.4186 simTicks=1 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=3 botsP1=3 stalled=0
tick=82 frame=25.8863 sim=0.2349 route=0.007 render=1.704 simTicks=1 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=3 botsP1=3 stalled=0
tick=146 frame=25.8676 sim=0.6868 route=0.0061 render=1.3245 simTicks=1 resim=0 | cmd=0.0036 move=0.0112 vis=0.0581 econ=0.0056 combat=0.293 route=0.049 coll=0.0456 (field=0 x0 prewarm=0.003 x0) | botsP0=3 botsP1=3 stalled=0
tick=5 frame=25.8613 sim=0.2277 route=0.0062 render=1.2327 simTicks=1 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=3 botsP1=3 stalled=0
tick=175 frame=25.7481 sim=0 route=0 render=1.0527 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=3 botsP1=3 stalled=1
tick=53 frame=25.7442 sim=0.2306 route=0.0063 render=1.4601 simTicks=1 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=3 botsP1=3 stalled=0
tick=119 frame=25.682 sim=0.1504 route=0.0049 render=1.4345 simTicks=1 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=3 botsP1=3 stalled=0
tick=67 frame=25.6736 sim=0.2048 route=0.0054 render=1.4198 simTicks=1 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=3 botsP1=3 stalled=0
tick=50 frame=25.671 sim=0.2509 route=0.006 render=1.4928 simTicks=1 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=3 botsP1=3 stalled=0
tick=162 frame=25.6568 sim=0.7153 route=0.0076 render=1.5373 simTicks=1 resim=0 | cmd=0.0094 move=0.0182 vis=0.0592 econ=0.0071 combat=0.3089 route=0.0632 coll=0.0425 (field=0 x0 prewarm=0.0034 x0) | botsP0=3 botsP1=3 stalled=0
tick=114 frame=25.6403 sim=0.2001 route=0.0066 render=1.537 simTicks=1 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=3 botsP1=3 stalled=0
tick=30 frame=25.5912 sim=0.2335 route=0.0067 render=1.1708 simTicks=1 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=3 botsP1=3 stalled=0
tick=164 frame=25.5746 sim=0.6506 route=0.0077 render=1.2286 simTicks=1 resim=0 | cmd=0.0043 move=0.0136 vis=0.0638 econ=0.0058 combat=0.2786 route=0.0665 coll=0.0443 (field=0 x0 prewarm=0.0021 x0) | botsP0=3 botsP1=3 stalled=0
tick=106 frame=25.5676 sim=0.2062 route=0.0056 render=1.2955 simTicks=1 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=3 botsP1=3 stalled=0
tick=133 frame=25.5619 sim=0.6972 route=0.006 render=1.5001 simTicks=1 resim=0 | cmd=0.0037 move=0.0116 vis=0.0546 econ=0.0056 combat=0.2672 route=0.0562 coll=0.0718 (field=0 x0 prewarm=0.003 x0) | botsP0=3 botsP1=3 stalled=0
tick=32 frame=25.5613 sim=0.241 route=0.006 render=1.1319 simTicks=1 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=3 botsP1=3 stalled=0
tick=41 frame=25.5557 sim=0.2241 route=0.007 render=1.5084 simTicks=1 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=3 botsP1=3 stalled=0
tick=112 frame=25.5557 sim=0.2185 route=0.0057 render=1.7126 simTicks=1 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=3 botsP1=3 stalled=0
tick=38 frame=25.5543 sim=0.2241 route=0.0062 render=1.3468 simTicks=1 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=3 botsP1=3 stalled=0
tick=86 frame=25.5505 sim=0.1902 route=0.0058 render=1.423 simTicks=1 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=3 botsP1=3 stalled=0
tick=74 frame=25.5331 sim=0.1917 route=0.0051 render=1.3225 simTicks=1 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=3 botsP1=3 stalled=0
tick=126 frame=25.533 sim=0.8164 route=0.0067 render=1.3825 simTicks=1 resim=0 | cmd=0.0054 move=0.0171 vis=0.055 econ=0.008 combat=0.4038 route=0.0535 coll=0.0483 (field=0 x0 prewarm=0.0029 x0) | botsP0=3 botsP1=3 stalled=0
tick=76 frame=25.5222 sim=0.234 route=0.006 render=1.3629 simTicks=1 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=3 botsP1=3 stalled=0
tick=24 frame=25.5185 sim=0.2334 route=0.0067 render=1.2162 simTicks=1 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=3 botsP1=3 stalled=0
tick=101 frame=25.509 sim=0.2211 route=0.0064 render=1.3333 simTicks=1 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=3 botsP1=3 stalled=0
tick=93 frame=25.4957 sim=0.2249 route=0.0063 render=1.3742 simTicks=1 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=3 botsP1=3 stalled=0
tick=25 frame=25.4832 sim=0.233 route=0.0063 render=1.3818 simTicks=1 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=3 botsP1=3 stalled=0
tick=142 frame=25.4671 sim=0.7654 route=0.0067 render=1.6772 simTicks=1 resim=0 | cmd=0.0065 move=0.0171 vis=0.0546 econ=0.0072 combat=0.3487 route=0.08 coll=0.0495 (field=0 x0 prewarm=0.0026 x0) | botsP0=3 botsP1=3 stalled=0
tick=55 frame=25.4623 sim=0.2462 route=0.007 render=1.532 simTicks=1 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=3 botsP1=3 stalled=0
tick=154 frame=25.4562 sim=0.6518 route=0.0073 render=1.0949 simTicks=1 resim=0 | cmd=0.0035 move=0.0112 vis=0.0467 econ=0.0082 combat=0.3041 route=0.0556 coll=0.0438 (field=0 x0 prewarm=0.003 x0) | botsP0=3 botsP1=3 stalled=0
tick=157 frame=25.4559 sim=1.1161 route=0.0088 render=1.3686 simTicks=1 resim=0 | cmd=0.0105 move=0.0206 vis=0.0707 econ=0.0058 combat=0.3748 route=0.3339 coll=0.054 (field=0 x0 prewarm=0.0031 x0) | botsP0=3 botsP1=3 stalled=0
tick=27 frame=25.4551 sim=0.2207 route=0.0059 render=1.1347 simTicks=1 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=3 botsP1=3 stalled=0
tick=139 frame=25.4403 sim=0.6947 route=0.0066 render=1.7058 simTicks=1 resim=0 | cmd=0.0074 move=0.0178 vis=0.0623 econ=0.0059 combat=0.3008 route=0.0635 coll=0.044 (field=0 x0 prewarm=0.003 x0) | botsP0=3 botsP1=3 stalled=0
tick=42 frame=25.4372 sim=0.2857 route=0.0069 render=1.5108 simTicks=1 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=3 botsP1=3 stalled=0
tick=68 frame=25.429 sim=0.2195 route=0.0067 render=1.4683 simTicks=1 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=3 botsP1=3 stalled=0
tick=59 frame=25.4134 sim=0.2267 route=0.0064 render=1.4672 simTicks=1 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=3 botsP1=3 stalled=0
tick=46 frame=25.412 sim=0.2388 route=0.0061 render=1.4912 simTicks=1 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=3 botsP1=3 stalled=0
tick=141 frame=25.409 sim=0.7466 route=0.0062 render=1.4371 simTicks=1 resim=0 | cmd=0.0048 move=0.0126 vis=0.0521 econ=0.0056 combat=0.2963 route=0.1315 coll=0.0442 (field=0 x0 prewarm=0.0022 x0) | botsP0=3 botsP1=3 stalled=0
tick=150 frame=25.4057 sim=0.669 route=0.0057 render=1.5929 simTicks=1 resim=0 | cmd=0.0039 move=0.0111 vis=0.0538 econ=0.0057 combat=0.2857 route=0.0671 coll=0.0545 (field=0 x0 prewarm=0.0032 x0) | botsP0=3 botsP1=3 stalled=0
tick=167 frame=25.387 sim=0.9678 route=0.0078 render=1.1281 simTicks=1 resim=0 | cmd=0.0049 move=0.0123 vis=0.3524 econ=0.0057 combat=0.3047 route=0.0538 coll=0.041 (field=0 x0 prewarm=0.0031 x0) | botsP0=3 botsP1=3 stalled=0
tick=18 frame=25.3734 sim=0.2779 route=0.0081 render=1.1803 simTicks=1 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=3 botsP1=3 stalled=0
tick=15 frame=25.3669 sim=0.238 route=0.0059 render=1.9609 simTicks=1 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=3 botsP1=3 stalled=0
tick=7 frame=25.3402 sim=0.217 route=0.0063 render=1.1625 simTicks=1 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=3 botsP1=3 stalled=0
tick=128 frame=25.3388 sim=0.7104 route=0.0057 render=1.5153 simTicks=1 resim=0 | cmd=0.0049 move=0.0121 vis=0.0561 econ=0.0055 combat=0.3365 route=0.0577 coll=0.0544 (field=0 x0 prewarm=0.0037 x0) | botsP0=3 botsP1=3 stalled=0
tick=51 frame=25.334 sim=0.235 route=0.0073 render=1.459 simTicks=1 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=3 botsP1=3 stalled=0
tick=21 frame=25.3247 sim=0.2435 route=0.0068 render=1.0646 simTicks=1 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=3 botsP1=3 stalled=0
tick=22 frame=25.3212 sim=0.2355 route=0.0069 render=1.1572 simTicks=1 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=3 botsP1=3 stalled=0
tick=89 frame=25.3156 sim=0.1828 route=0.0061 render=1.3932 simTicks=1 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=3 botsP1=3 stalled=0
tick=100 frame=25.3133 sim=0.2111 route=0.0065 render=1.5044 simTicks=1 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=3 botsP1=3 stalled=0
tick=130 frame=25.2949 sim=0.6967 route=0.0061 render=1.3542 simTicks=1 resim=0 | cmd=0.0034 move=0.0125 vis=0.0609 econ=0.0056 combat=0.2824 route=0.0688 coll=0.0622 (field=0 x0 prewarm=0.0027 x0) | botsP0=3 botsP1=3 stalled=0
tick=105 frame=25.2819 sim=0.219 route=0.0055 render=1.3276 simTicks=1 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=3 botsP1=3 stalled=0
tick=11 frame=25.2794 sim=0.2309 route=0.0066 render=1.0962 simTicks=1 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=3 botsP1=3 stalled=0
tick=103 frame=25.2669 sim=0.2362 route=0.0064 render=1.4041 simTicks=1 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=3 botsP1=3 stalled=0
tick=136 frame=25.2655 sim=0.6654 route=0.0061 render=1.4875 simTicks=1 resim=0 | cmd=0.0037 move=0.0111 vis=0.0466 econ=0.006 combat=0.2786 route=0.0484 coll=0.0445 (field=0 x0 prewarm=0.0031 x0) | botsP0=3 botsP1=3 stalled=0
tick=96 frame=25.2597 sim=0.212 route=0.0057 render=1.5702 simTicks=1 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=3 botsP1=3 stalled=0
tick=102 frame=25.2549 sim=0.2315 route=0.0067 render=1.5039 simTicks=1 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=3 botsP1=3 stalled=0
tick=62 frame=25.2284 sim=0.2212 route=0.0065 render=1.4629 simTicks=1 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=3 botsP1=3 stalled=0
