FRAME PROFILE  slowest 100 frames  peer=P0  (ms; sim/route/render are wall-clock THIS frame incl. rollback resim; phase ms summed over the frame's steps)
ROLLBACK: liveTicks=2569 resimTicks=12 amplification=1.00467x (1.0 = no rollback; 2.0 = sim ran twice per tick of game time)
tick=858 frame=29.5895 sim=0.7732 route=0.0092 render=1.3904 simTicks=1 resim=0 | cmd=0.0127 move=0.0205 vis=0.0587 econ=0.0071 combat=0.345 route=0.0708 coll=0.0638 (field=0 x0 prewarm=0.0026 x0) | botsP0=4 botsP1=3 stalled=0
tick=2 frame=28.6147 sim=0.2574 route=0.0103 render=11.2685 simTicks=1 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=1 frame=25.1806 sim=0.2413 route=0.0296 render=28.2915 simTicks=1 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=161 frame=20.9757 sim=0.9287 route=0.0077 render=2.4405 simTicks=1 resim=0 | cmd=0.0053 move=0.0146 vis=0.2278 econ=0.0107 combat=0.3227 route=0.0587 coll=0.058 (field=0 x0 prewarm=0.0024 x0) | botsP0=4 botsP1=3 stalled=0
tick=81 frame=20.877 sim=0.2447 route=0.0084 render=3.6634 simTicks=1 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=41 frame=20.7718 sim=0.2426 route=0.0082 render=6.8073 simTicks=1 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=200 frame=20.7646 sim=0 route=0 render=7.1713 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=360 frame=20.6478 sim=0 route=0 render=4.9069 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=440 frame=20.6225 sim=0 route=0 render=4.3159 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=19 frame=20.5936 sim=0 route=0 render=4.1128 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=320 frame=20.5902 sim=0 route=0 render=4.4574 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=480 frame=20.5414 sim=0 route=0 render=4.9237 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=240 frame=20.4303 sim=0 route=0 render=8.9731 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=280 frame=20.4223 sim=0 route=0 render=7.5869 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=2549 frame=20.4201 sim=0.6633 route=0.0081 render=4.2153 simTicks=1 resim=0 | cmd=0.0051 move=0.0142 vis=0.0483 econ=0.01 combat=0.2979 route=0.051 coll=0.0563 (field=0 x0 prewarm=0.0024 x0) | botsP0=4 botsP1=3 stalled=0
tick=888 frame=20.086 sim=0.7901 route=0.0081 render=3.5865 simTicks=1 resim=0 | cmd=0.0114 move=0.0271 vis=0.0616 econ=0.0119 combat=0.3271 route=0.0561 coll=0.054 (field=0 x0 prewarm=0.0022 x0) | botsP0=4 botsP1=3 stalled=0
tick=400 frame=17.3685 sim=0 route=0 render=5.8508 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=536 frame=14.138 sim=0 route=0 render=8.0474 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
