FRAME PROFILE  slowest 100 frames  peer=P1  (ms; sim/route/render are wall-clock THIS frame incl. rollback resim; phase ms summed over the frame's steps)
ROLLBACK: liveTicks=4769 resimTicks=0 amplification=1x (1.0 = no rollback; 2.0 = sim ran twice per tick of game time)
tick=1 frame=29.3038 sim=0.2019 route=0.0267 render=8.5505 simTicks=1 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=3546 frame=29.2765 sim=0.8857 route=0.0095 render=1.3226 simTicks=1 resim=0 | cmd=0.0059 move=0.0141 vis=0.0777 econ=0.0073 combat=0.37 route=0.1141 coll=0.0732 (field=0 x0 prewarm=0.0026 x0) | botsP0=4 botsP1=3 stalled=0
tick=3632 frame=28.5333 sim=1.0792 route=0.0165 render=1.766 simTicks=1 resim=0 | cmd=0.0377 move=0.0315 vis=0.0878 econ=0.011 combat=0.4423 route=0.1037 coll=0.0677 (field=0 x0 prewarm=0.0024 x0) | botsP0=4 botsP1=3 stalled=0
tick=3481 frame=28.5272 sim=1.0119 route=0.0092 render=1.4436 simTicks=1 resim=0 | cmd=0.0121 move=0.0204 vis=0.0911 econ=0.0074 combat=0.5089 route=0.0852 coll=0.0786 (field=0 x0 prewarm=0.0029 x0) | botsP0=4 botsP1=3 stalled=0
tick=3591 frame=28.3933 sim=1.0074 route=0.0093 render=1.4791 simTicks=1 resim=0 | cmd=0.0041 move=0.0132 vis=0.0948 econ=0.0074 combat=0.476 route=0.1169 coll=0.0725 (field=0 x0 prewarm=0.0024 x0) | botsP0=4 botsP1=3 stalled=0
tick=3185 frame=28.2052 sim=0.8484 route=0.0127 render=1.4196 simTicks=1 resim=0 | cmd=0.0073 move=0.0211 vis=0.0914 econ=0.012 combat=0.3704 route=0.081 coll=0.0801 (field=0 x0 prewarm=0.0022 x0) | botsP0=4 botsP1=3 stalled=0
tick=2790 frame=27.4794 sim=0.9069 route=0.0099 render=1.4847 simTicks=1 resim=0 | cmd=0.0056 move=0.0147 vis=0.0795 econ=0.0075 combat=0.3552 route=0.1005 coll=0.0767 (field=0 x0 prewarm=0.0028 x0) | botsP0=4 botsP1=3 stalled=0
tick=389 frame=21.0984 sim=0.9781 route=0.008 render=2.1535 simTicks=1 resim=0 | cmd=0.004 move=0.0161 vis=0.0603 econ=0.0075 combat=0.3404 route=0.0805 coll=0.0632 (field=0 x0 prewarm=0.0026 x0) | botsP0=4 botsP1=3 stalled=0
tick=241 frame=21.0367 sim=0.734 route=0.0076 render=5.3586 simTicks=1 resim=0 | cmd=0.0033 move=0.0126 vis=0.0596 econ=0.0074 combat=0.2922 route=0.0689 coll=0.0637 (field=0 x0 prewarm=0.0027 x0) | botsP0=4 botsP1=3 stalled=0
tick=691 frame=20.9466 sim=0 route=0 render=1.3568 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=201 frame=20.7775 sim=0.7358 route=0.0078 render=2.9884 simTicks=1 resim=0 | cmd=0.0035 move=0.0134 vis=0.0635 econ=0.0071 combat=0.3146 route=0.0872 coll=0.0572 (field=0 x0 prewarm=0.0022 x0) | botsP0=4 botsP1=3 stalled=0
tick=161 frame=20.7494 sim=0.8364 route=0.0081 render=5.5507 simTicks=1 resim=0 | cmd=0.0034 move=0.0186 vis=0.0674 econ=0.0075 combat=0.3513 route=0.0848 coll=0.0652 (field=0 x0 prewarm=0.0024 x0) | botsP0=4 botsP1=3 stalled=0
tick=281 frame=20.6137 sim=0.7251 route=0.0077 render=3.3703 simTicks=1 resim=0 | cmd=0.0034 move=0.0132 vis=0.0583 econ=0.0073 combat=0.3293 route=0.0682 coll=0.0586 (field=0 x0 prewarm=0.0027 x0) | botsP0=4 botsP1=3 stalled=0
tick=481 frame=20.6007 sim=0.7742 route=0.0081 render=3.0499 simTicks=1 resim=0 | cmd=0.0043 move=0.0141 vis=0.059 econ=0.0075 combat=0.3502 route=0.0755 coll=0.0701 (field=0 x0 prewarm=0.0023 x0) | botsP0=4 botsP1=3 stalled=0
tick=154 frame=20.5933 sim=0.7785 route=0.0083 render=3.3714 simTicks=1 resim=0 | cmd=0.0037 move=0.0136 vis=0.0624 econ=0.0073 combat=0.3248 route=0.0849 coll=0.0574 (field=0 x0 prewarm=0.0023 x0) | botsP0=4 botsP1=3 stalled=0
tick=40 frame=20.5647 sim=0 route=0 render=3.4325 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=80 frame=20.523 sim=0 route=0 render=2.1853 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=6 frame=20.1749 sim=0.2744 route=0.0086 render=2.8443 simTicks=1 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=224 frame=19.7875 sim=0.7626 route=0.0084 render=3.3153 simTicks=1 resim=0 | cmd=0.0041 move=0.0141 vis=0.0651 econ=0.0072 combat=0.3485 route=0.0705 coll=0.0614 (field=0 x0 prewarm=0.0025 x0) | botsP0=4 botsP1=3 stalled=0
tick=948 frame=16.6193 sim=0 route=0 render=2.5353 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
