FRAME PROFILE  slowest 100 frames  peer=P1  (ms; sim/route/render are wall-clock THIS frame incl. rollback resim; phase ms summed over the frame's steps)
ROLLBACK: liveTicks=2313 resimTicks=175 amplification=1.07566x (1.0 = no rollback; 2.0 = sim ran twice per tick of game time)
tick=2313 frame=30.3958 sim=0 route=0 render=2.0439 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=1314 frame=23.5088 sim=0.7484 route=0.009 render=10.6592 simTicks=1 resim=0 | cmd=0.0059 move=0.0167 vis=0.0641 econ=0.0069 combat=0.3101 route=0.0991 coll=0.0645 (field=0 x0 prewarm=0.0022 x0) | botsP0=4 botsP1=3 stalled=0
tick=1532 frame=23.4699 sim=0.8753 route=0.0109 render=10.3521 simTicks=1 resim=0 | cmd=0.0057 move=0.0124 vis=0.0451 econ=0.0084 combat=0.356 route=0.0818 coll=0.0649 (field=0 x0 prewarm=0.006 x0) | botsP0=4 botsP1=3 stalled=0
tick=478 frame=22.893 sim=0.8797 route=0.0118 render=3.9862 simTicks=1 resim=0 | cmd=0.0058 move=0.0195 vis=0.0677 econ=0.0066 combat=0.4031 route=0.0707 coll=0.0633 (field=0 x0 prewarm=0.0021 x0) | botsP0=4 botsP1=3 stalled=0
tick=1807 frame=22.6069 sim=0.7348 route=0.0077 render=2.5229 simTicks=1 resim=0 | cmd=0.0037 move=0.0108 vis=0.0562 econ=0.0087 combat=0.3009 route=0.0833 coll=0.0697 (field=0 x0 prewarm=0.009 x0) | botsP0=4 botsP1=3 stalled=0
tick=441 frame=21.125 sim=0 route=0 render=3.7611 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=401 frame=20.9839 sim=0.8113 route=0.0078 render=3.2957 simTicks=1 resim=0 | cmd=0.0045 move=0.0123 vis=0.0521 econ=0.0087 combat=0.349 route=0.1047 coll=0.0779 (field=0 x0 prewarm=0.0029 x0) | botsP0=4 botsP1=3 stalled=0
tick=227 frame=20.8662 sim=0.8247 route=0.0095 render=2.6318 simTicks=1 resim=0 | cmd=0.032 move=0.0294 vis=0.0896 econ=0.0063 combat=0.302 route=0.071 coll=0.0611 (field=0 x0 prewarm=0.0026 x0) | botsP0=4 botsP1=3 stalled=0
tick=80 frame=20.7816 sim=0 route=0 render=3.5258 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=281 frame=20.6918 sim=0.755 route=0.0071 render=1.8861 simTicks=1 resim=0 | cmd=0.0051 move=0.0186 vis=0.0464 econ=0.0095 combat=0.2829 route=0.0733 coll=0.0565 (field=0 x0 prewarm=0.0025 x0) | botsP0=4 botsP1=3 stalled=0
tick=40 frame=20.6601 sim=0 route=0 render=3.5298 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=200 frame=20.6477 sim=0 route=0 render=4.1601 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=160 frame=20.4628 sim=0 route=0 render=2.0349 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=240 frame=20.4481 sim=0 route=0 render=4.4236 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=151 frame=20.2926 sim=0.7482 route=0.0079 render=3.2947 simTicks=1 resim=0 | cmd=0.007 move=0.0243 vis=0.0579 econ=0.0069 combat=0.2897 route=0.073 coll=0.0601 (field=0 x0 prewarm=0.0021 x0) | botsP0=4 botsP1=3 stalled=0
tick=2313 frame=19.9534 sim=0 route=0 render=1.9306 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=0 frame=19.2831 sim=0 route=0 render=5.4318 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=608 frame=16.7832 sim=0 route=0 render=1.0398 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=959 frame=16.2931 sim=0 route=0 render=2.1212 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=924 frame=14.7852 sim=0 route=0 render=3.8126 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=955 frame=14.6667 sim=0 route=0 render=2.4433 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=1034 frame=14.6578 sim=0.882 route=0.0322 render=1.4829 simTicks=1 resim=0 | cmd=0.0103 move=0.0189 vis=0.0929 econ=0.0064 combat=0.3068 route=0.1064 coll=0.0806 (field=0 x0 prewarm=0.0025 x0) | botsP0=4 botsP1=3 stalled=0
tick=862 frame=14.2961 sim=0 route=0 render=3.9725 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=483 frame=14.2667 sim=0 route=0 render=2.6092 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=359 frame=14.2054 sim=0 route=0 render=3.1432 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=616 frame=14.1259 sim=0 route=0 render=2.0096 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=937 frame=14.1167 sim=0 route=0 render=3.5991 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=613 frame=14.0702 sim=0 route=0 render=2.5164 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=487 frame=13.8979 sim=0 route=0 render=1.8977 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=617 frame=13.8804 sim=0 route=0 render=3.2789 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=961 frame=13.7661 sim=0 route=0 render=3.2225 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=351 frame=13.7469 sim=0 route=0 render=2.3821 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=624 frame=13.7459 sim=0 route=0 render=3.9405 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=622 frame=13.7097 sim=0 route=0 render=3.7593 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=614 frame=13.6563 sim=0 route=0 render=4.2212 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=486 frame=13.6215 sim=0 route=0 render=2.0406 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=964 frame=13.6029 sim=0 route=0 render=2.8868 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=484 frame=13.5524 sim=0 route=0 render=2.5968 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=871 frame=13.5488 sim=0 route=0 render=4.319 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=870 frame=13.5417 sim=0 route=0 render=2.7693 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=619 frame=13.5412 sim=0 route=0 render=3.9618 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=963 frame=13.4124 sim=0 route=0 render=3.5306 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=621 frame=13.4058 sim=0 route=0 render=3.9716 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=966 frame=13.3827 sim=0 route=0 render=2.2241 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=364 frame=13.3337 sim=0 route=0 render=4.0868 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=956 frame=13.297 sim=0 route=0 render=4.0842 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=958 frame=13.2942 sim=0 route=0 render=4.202 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=352 frame=13.2798 sim=0 route=0 render=3.2034 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=494 frame=13.2632 sim=0 route=0 render=3.5631 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=866 frame=13.2186 sim=0 route=0 render=4.3378 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=489 frame=13.2118 sim=0 route=0 render=3.5196 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=355 frame=13.2044 sim=0 route=0 render=3.5201 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=360 frame=13.1872 sim=0 route=0 render=2.5057 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=491 frame=13.1439 sim=0 route=0 render=2.6155 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=933 frame=13.0999 sim=0 route=0 render=4.1526 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
