FRAME PROFILE  slowest 100 frames  peer=P0  (ms; sim/route/render are wall-clock THIS frame incl. rollback resim; phase ms summed over the frame's steps)
ROLLBACK: liveTicks=649 resimTicks=84 amplification=1.12943x (1.0 = no rollback; 2.0 = sim ran twice per tick of game time)
tick=3 frame=34.917 sim=0.5269 route=0.0184 render=5.5679 simTicks=2 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=1 frame=24.8235 sim=0.2604 route=0.0305 render=34.5408 simTicks=1 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=321 frame=20.5677 sim=0.8315 route=0.009 render=4.164 simTicks=1 resim=0 | cmd=0.0084 move=0.0176 vis=0.0591 econ=0.0072 combat=0.3222 route=0.0617 coll=0.0558 (field=0 x0 prewarm=0.003 x0) | botsP0=4 botsP1=3 stalled=0
tick=481 frame=20.5585 sim=0.7174 route=0.0079 render=6.8368 simTicks=1 resim=0 | cmd=0.0046 move=0.0135 vis=0.0571 econ=0.0114 combat=0.3156 route=0.0618 coll=0.0543 (field=0 x0 prewarm=0.0024 x0) | botsP0=4 botsP1=3 stalled=0
tick=40 frame=20.529 sim=0 route=0 render=8.4444 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=241 frame=20.5141 sim=0.8384 route=0.0103 render=3.9464 simTicks=1 resim=0 | cmd=0.008 move=0.0295 vis=0.0685 econ=0.007 combat=0.3273 route=0.0619 coll=0.0529 (field=0 x0 prewarm=0.0024 x0) | botsP0=4 botsP1=3 stalled=0
tick=441 frame=20.4619 sim=1.0137 route=0.0087 render=4.1725 simTicks=1 resim=0 | cmd=0.0055 move=0.0159 vis=0.2891 econ=0.0085 combat=0.319 route=0.0685 coll=0.079 (field=0 x0 prewarm=0.0023 x0) | botsP0=4 botsP1=3 stalled=0
tick=161 frame=20.4575 sim=0.8218 route=0.0084 render=4.4966 simTicks=1 resim=0 | cmd=0.0052 move=0.0143 vis=0.0568 econ=0.0073 combat=0.4012 route=0.0749 coll=0.0514 (field=0 x0 prewarm=0.0023 x0) | botsP0=4 botsP1=3 stalled=0
tick=80 frame=20.4508 sim=0 route=0 render=8.8389 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=401 frame=20.445 sim=0.7821 route=0.0108 render=7.5906 simTicks=1 resim=0 | cmd=0.0049 move=0.0139 vis=0.0458 econ=0.0081 combat=0.3573 route=0.07 coll=0.0599 (field=0 x0 prewarm=0.0029 x0) | botsP0=4 botsP1=3 stalled=0
tick=361 frame=20.4351 sim=0.8248 route=0.0096 render=3.953 simTicks=1 resim=0 | cmd=0.0093 move=0.0182 vis=0.0483 econ=0.0069 combat=0.3548 route=0.0669 coll=0.0571 (field=0 x0 prewarm=0.0027 x0) | botsP0=4 botsP1=3 stalled=0
