FRAME PROFILE  slowest 100 frames  peer=P1  (ms; sim/route/render are wall-clock THIS frame incl. rollback resim; phase ms summed over the frame's steps)
ROLLBACK: liveTicks=570 resimTicks=0 amplification=1x (1.0 = no rollback; 2.0 = sim ran twice per tick of game time)
tick=401 frame=21.0847 sim=0.691 route=0.0089 render=3.395 simTicks=1 resim=0 | cmd=0.0036 move=0.0146 vis=0.0467 econ=0.0071 combat=0.2875 route=0.0526 coll=0.0503 (field=0 x0 prewarm=0.0025 x0) | botsP0=4 botsP1=3 stalled=0
tick=161 frame=20.9207 sim=0.7428 route=0.008 render=5.1965 simTicks=1 resim=0 | cmd=0.0044 move=0.0162 vis=0.053 econ=0.007 combat=0.3027 route=0.0532 coll=0.0519 (field=0 x0 prewarm=0.0023 x0) | botsP0=4 botsP1=3 stalled=0
tick=481 frame=20.8324 sim=0.7079 route=0.0077 render=1.1451 simTicks=1 resim=0 | cmd=0.0034 move=0.0138 vis=0.0414 econ=0.0079 combat=0.3131 route=0.0583 coll=0.0446 (field=0 x0 prewarm=0.0023 x0) | botsP0=4 botsP1=3 stalled=0
tick=241 frame=20.6129 sim=0.7681 route=0.0136 render=5.9944 simTicks=1 resim=0 | cmd=0.0029 move=0.0128 vis=0.0387 econ=0.0068 combat=0.3252 route=0.0639 coll=0.0449 (field=0 x0 prewarm=0.0024 x0) | botsP0=4 botsP1=3 stalled=0
tick=40 frame=20.4306 sim=0 route=0 render=2.0975 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=80 frame=20.4239 sim=0 route=0 render=2.2654 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=201 frame=20.3315 sim=0.702 route=0.0798 render=1.442 simTicks=1 resim=0 | cmd=0.0034 move=0.0127 vis=0.0382 econ=0.0082 combat=0.2928 route=0.0527 coll=0.0631 (field=0 x0 prewarm=0.0024 x0) | botsP0=4 botsP1=3 stalled=0
tick=74 frame=20.2129 sim=0.2026 route=0.0087 render=3.3131 simTicks=1 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=281 frame=20.1832 sim=0.7416 route=0.0116 render=1.779 simTicks=1 resim=0 | cmd=0.0053 move=0.0164 vis=0.0615 econ=0.0072 combat=0.3036 route=0.066 coll=0.0489 (field=0 x0 prewarm=0.0024 x0) | botsP0=4 botsP1=3 stalled=0
tick=0 frame=19.4922 sim=0 route=0 render=10.6456 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=3 frame=15.2243 sim=0 route=0 render=4.7176 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=1 frame=10.6931 sim=0.2422 route=0.0242 render=6.686 simTicks=1 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=2 frame=9.3587 sim=0 route=0 render=5.2753 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=121 frame=8.8381 sim=0 route=0 render=4.971 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=186 frame=8.2756 sim=0 route=0 render=6.3197 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=451 frame=8.0774 sim=0.6989 route=0.0097 render=5.4291 simTicks=1 resim=0 | cmd=0.0032 move=0.0151 vis=0.0507 econ=0.0076 combat=0.2963 route=0.0574 coll=0.0455 (field=0 x0 prewarm=0.0025 x0) | botsP0=4 botsP1=3 stalled=0
tick=568 frame=8.0623 sim=0 route=0 render=5.8036 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=565 frame=8.0261 sim=0.861 route=0.0127 render=5.1547 simTicks=1 resim=0 | cmd=0.0038 move=0.0259 vis=0.0697 econ=0.0073 combat=0.3124 route=0.0571 coll=0.0936 (field=0 x0 prewarm=0.0035 x0) | botsP0=4 botsP1=3 stalled=0
tick=91 frame=7.9587 sim=0.2441 route=0.0084 render=5.6451 simTicks=1 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=237 frame=7.8737 sim=0 route=0 render=6.0072 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=331 frame=7.8662 sim=0.6684 route=0.009 render=5.5822 simTicks=1 resim=0 | cmd=0.0035 move=0.0126 vis=0.0561 econ=0.0068 combat=0.2706 route=0.0568 coll=0.0509 (field=0 x0 prewarm=0.0021 x0) | botsP0=4 botsP1=3 stalled=0
tick=89 frame=7.8574 sim=0.5709 route=0.0113 render=5.7783 simTicks=1 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=156 frame=7.8314 sim=0 route=0 render=5.8665 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=211 frame=7.8089 sim=0.6822 route=0.0632 render=5.2382 simTicks=1 resim=0 | cmd=0.0031 move=0.0133 vis=0.0388 econ=0.0077 combat=0.2879 route=0.055 coll=0.0494 (field=0 x0 prewarm=0.0025 x0) | botsP0=4 botsP1=3 stalled=0
tick=362 frame=7.7783 sim=0.641 route=0.0082 render=5.6435 simTicks=1 resim=0 | cmd=0.0039 move=0.013 vis=0.054 econ=0.007 combat=0.286 route=0.0566 coll=0.0479 (field=0 x0 prewarm=0.0026 x0) | botsP0=4 botsP1=3 stalled=0
tick=181 frame=7.769 sim=0 route=0 render=6.1054 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=220 frame=7.7425 sim=0.769 route=0.0106 render=5.33 simTicks=1 resim=0 | cmd=0.0036 move=0.0139 vis=0.0631 econ=0.0071 combat=0.3049 route=0.0633 coll=0.0491 (field=0 x0 prewarm=0.0026 x0) | botsP0=4 botsP1=3 stalled=0
tick=434 frame=7.7357 sim=0 route=0 render=6.2212 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=391 frame=7.6828 sim=0 route=0 render=6.1049 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=498 frame=7.6559 sim=0.7001 route=0.0087 render=5.843 simTicks=1 resim=0 | cmd=0.0034 move=0.0146 vis=0.0426 econ=0.0066 combat=0.299 route=0.0645 coll=0.0529 (field=0 x0 prewarm=0.0028 x0) | botsP0=4 botsP1=3 stalled=0
tick=551 frame=7.6511 sim=0 route=0 render=6.0633 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=529 frame=7.6462 sim=0.721 route=0.0107 render=5.5926 simTicks=1 resim=0 | cmd=0.0038 move=0.0234 vis=0.0562 econ=0.007 combat=0.2782 route=0.0512 coll=0.0612 (field=0 x0 prewarm=0.0029 x0) | botsP0=4 botsP1=3 stalled=0
tick=458 frame=7.6449 sim=0 route=0 render=6.2334 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=132 frame=7.6438 sim=0 route=0 render=6.2276 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=66 frame=7.6412 sim=0.2069 route=0.0089 render=6.1453 simTicks=1 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=154 frame=7.6398 sim=0 route=0 render=6.3175 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=485 frame=7.6362 sim=0 route=0 render=6.1915 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=539 frame=7.6233 sim=0 route=0 render=6.4077 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=142 frame=7.619 sim=0 route=0 render=6.6343 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=144 frame=7.5932 sim=0.7672 route=0.0088 render=5.3242 simTicks=1 resim=0 | cmd=0.0061 move=0.0194 vis=0.0537 econ=0.0071 combat=0.3524 route=0.0547 coll=0.0529 (field=0 x0 prewarm=0.0023 x0) | botsP0=4 botsP1=3 stalled=0
tick=105 frame=7.581 sim=0 route=0 render=6.4483 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=361 frame=7.5746 sim=0 route=0 render=6.4524 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=562 frame=7.5592 sim=0 route=0 render=5.9419 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=318 frame=7.5587 sim=0.7365 route=0.0081 render=5.3851 simTicks=1 resim=0 | cmd=0.0031 move=0.0148 vis=0.059 econ=0.007 combat=0.3184 route=0.0556 coll=0.0476 (field=0 x0 prewarm=0.0023 x0) | botsP0=4 botsP1=3 stalled=0
tick=27 frame=7.5579 sim=0.2765 route=0.0269 render=5.8931 simTicks=1 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=448 frame=7.5539 sim=0.8026 route=0.0084 render=5.3617 simTicks=1 resim=0 | cmd=0.006 move=0.018 vis=0.0529 econ=0.007 combat=0.3244 route=0.0573 coll=0.0498 (field=0 x0 prewarm=0.003 x0) | botsP0=4 botsP1=3 stalled=0
tick=515 frame=7.5519 sim=0.8447 route=0.0093 render=5.3077 simTicks=1 resim=0 | cmd=0.0033 move=0.0157 vis=0.053 econ=0.0068 combat=0.3847 route=0.0501 coll=0.0549 (field=0 x0 prewarm=0.0025 x0) | botsP0=4 botsP1=3 stalled=0
tick=340 frame=7.5489 sim=0 route=0 render=6.4126 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=5 frame=7.5483 sim=0 route=0 render=6.9153 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=383 frame=7.5453 sim=0 route=0 render=6.4295 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=314 frame=7.5441 sim=0.6603 route=0.0081 render=5.7102 simTicks=1 resim=0 | cmd=0.0031 move=0.0122 vis=0.0559 econ=0.0068 combat=0.2828 route=0.0492 coll=0.0537 (field=0 x0 prewarm=0.0026 x0) | botsP0=4 botsP1=3 stalled=0
tick=495 frame=7.5424 sim=0 route=0 render=6.2778 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
