# per-faction starting placement: <faction 0-2>|<kind>|<cat>|<x>|<z>|<yaw>
0|1|0|0|0|0
0|0|5|-0.293668002|1.18706|170.983994
0|0|5|0.302893013|1.20914996|-168.444
0|0|5|0.860881984|1.02201998|-146.455002
0|0|5|-0.859776974|0.917593002|143.589996
0|2|11|-0.714205027|2.11879992|0
0|2|11|-0.236627996|2.23126006|42.6431999
0|2|11|0.232901007|2.18517995|102.753998
1|2|11|-0.443309993|1.7478925|33.5
1|0|10|0|0|0
1|2|11|0.0409922563|1.8841846|-117.5
1|2|11|0.521218538|1.8094517|90
2|0|18|0|0|0
2|0|18|-0.448374271|0.1428058|0
2|0|18|0.497040242|0.18856369|0
2|1|15|-1.32575643|0.126176447|0
2|1|15|-0.595579028|-0.925871491|0
2|1|15|0.690134883|-0.865175486|0
2|1|15|1.56269646|-0.0336315185|0
2|1|15|0.74574405|1.00104868|0
2|1|15|-0.53568095|1.04537368|0
