patch visPatch=23.93 sum=161.38 folded=0 | free=0.00 base=0.00 [add=0.00 rem=0.00 (gather=0.00 unbury=0.00[scan=0.00 connect=0.00] cross=0.00)] tang=0.11 cut=0.16 | dirty=0/287
patch visPatch=1.52 sum=11.22 folded=1 | free=0.06 base=0.75 [add=5.48 rem=0.00 (gather=0.00 unbury=0.00[scan=0.00 connect=0.00] cross=0.00)] tang=0.22 cut=0.08 | dirty=6/287
patch visPatch=1.72 sum=12.29 folded=1 | free=0.03 base=0.87 [add=5.83 rem=0.00 (gather=0.00 unbury=0.00[scan=0.00 connect=0.00] cross=0.00)] tang=0.21 cut=0.09 | dirty=6/287
patch visPatch=2.11 sum=15.19 folded=1 | free=0.03 base=1.03 [add=7.31 rem=0.00 (gather=0.00 unbury=0.00[scan=0.00 connect=0.00] cross=0.00)] tang=0.20 cut=0.12 | dirty=6/287
patch visPatch=1.84 sum=14.02 folded=1 | free=0.03 base=0.79 [add=5.69 rem=0.00 (gather=0.00 unbury=0.00[scan=0.00 connect=0.00] cross=0.00)] tang=0.22 cut=0.08 | dirty=6/287
patch visPatch=1.90 sum=13.69 folded=1 | free=0.04 base=1.09 [add=7.63 rem=0.00 (gather=0.00 unbury=0.00[scan=0.00 connect=0.00] cross=0.00)] tang=0.15 cut=0.08 | dirty=6/287
patch visPatch=2.36 sum=17.04 folded=1 | free=0.03 base=1.09 [add=8.07 rem=0.00 (gather=0.00 unbury=0.00[scan=0.00 connect=0.00] cross=0.00)] tang=0.29 cut=0.14 | dirty=6/287
patch visPatch=2.27 sum=15.42 folded=1 | free=0.03 base=1.01 [add=6.55 rem=0.00 (gather=0.00 unbury=0.00[scan=0.00 connect=0.00] cross=0.00)] tang=0.26 cut=0.14 | dirty=6/287
patch visPatch=2.31 sum=15.36 folded=1 | free=0.04 base=0.78 [add=5.25 rem=0.00 (gather=0.00 unbury=0.00[scan=0.00 connect=0.00] cross=0.00)] tang=0.40 cut=0.16 | dirty=8/287
F8 diff  spurious(R)=0  missing(G)=0  -> CANONICAL
patch visPatch=1.25 sum=9.62 folded=1 | free=0.05 base=0.33 [add=0.00 rem=1.98 (gather=0.03 unbury=0.21[scan=0.15 connect=0.07] cross=0.17)] tang=0.35 cut=0.12 | dirty=8/287
patch visPatch=1.32 sum=9.55 folded=1 | free=0.04 base=0.34 [add=0.00 rem=2.00 (gather=0.03 unbury=0.18[scan=0.18 connect=0.00] cross=0.17)] tang=0.34 cut=0.10 | dirty=8/287
patch visPatch=1.79 sum=11.67 folded=1 | free=0.04 base=0.68 [add=0.00 rem=2.72 (gather=0.03 unbury=0.27[scan=0.21 connect=0.06] cross=0.51)] tang=0.23 cut=0.09 | dirty=8/287
F8 diff  spurious(R)=0  missing(G)=0  -> CANONICAL
patch visPatch=1.24 sum=8.41 folded=1 | free=0.04 base=0.34 [add=0.00 rem=1.74 (gather=0.02 unbury=0.19[scan=0.14 connect=0.05] cross=0.18)] tang=0.26 cut=0.10 | dirty=8/287
F8 diff  spurious(R)=0  missing(G)=0  -> CANONICAL
patch visPatch=2.47 sum=15.08 folded=1 | free=0.04 base=1.37 [add=0.00 rem=4.86 (gather=0.03 unbury=0.61[scan=0.21 connect=0.40] cross=1.18)] tang=0.22 cut=0.08 | dirty=8/287
F8 diff  spurious(R)=0  missing(G)=0  -> CANONICAL
F8 diff  spurious(R)=0  missing(G)=0  -> CANONICAL
patch visPatch=24.73 sum=222.06 folded=0 | free=0.00 base=0.00 [add=0.00 rem=0.00 (gather=0.00 unbury=0.00[scan=0.00 connect=0.00] cross=0.00)] tang=0.11 cut=0.28 | dirty=0/287
patch visPatch=24.99 sum=214.11 folded=0 | free=0.00 base=0.00 [add=0.00 rem=0.00 (gather=0.00 unbury=0.00[scan=0.00 connect=0.00] cross=0.00)] tang=0.17 cut=0.27 | dirty=0/287
patch visPatch=2.24 sum=18.90 folded=1 | free=0.03 base=1.08 [add=9.11 rem=0.00 (gather=0.00 unbury=0.00[scan=0.00 connect=0.00] cross=0.00)] tang=0.27 cut=0.13 | dirty=6/287
patch visPatch=2.01 sum=16.72 folded=1 | free=0.06 base=0.94 [add=8.00 rem=0.00 (gather=0.00 unbury=0.00[scan=0.00 connect=0.00] cross=0.00)] tang=0.26 cut=0.11 | dirty=6/287
patch visPatch=2.20 sum=18.84 folded=1 | free=0.06 base=1.14 [add=9.69 rem=0.00 (gather=0.00 unbury=0.00[scan=0.00 connect=0.00] cross=0.00)] tang=0.26 cut=0.09 | dirty=6/287
patch visPatch=2.08 sum=16.70 folded=1 | free=0.02 base=1.00 [add=8.30 rem=0.00 (gather=0.00 unbury=0.00[scan=0.00 connect=0.00] cross=0.00)] tang=0.28 cut=0.12 | dirty=6/287
patch visPatch=2.52 sum=21.59 folded=1 | free=0.02 base=1.20 [add=10.38 rem=0.00 (gather=0.00 unbury=0.00[scan=0.00 connect=0.00] cross=0.00)] tang=0.28 cut=0.13 | dirty=6/287
patch visPatch=2.29 sum=18.20 folded=1 | free=0.02 base=1.00 [add=8.48 rem=0.00 (gather=0.00 unbury=0.00[scan=0.00 connect=0.00] cross=0.00)] tang=0.27 cut=0.12 | dirty=6/287
patch visPatch=2.18 sum=19.37 folded=1 | free=0.02 base=1.06 [add=9.70 rem=0.00 (gather=0.00 unbury=0.00[scan=0.00 connect=0.00] cross=0.00)] tang=0.30 cut=0.12 | dirty=6/287
patch visPatch=2.22 sum=19.30 folded=1 | free=0.02 base=1.08 [add=9.38 rem=0.00 (gather=0.00 unbury=0.00[scan=0.00 connect=0.00] cross=0.00)] tang=0.30 cut=0.15 | dirty=6/287
patch visPatch=2.49 sum=20.70 folded=1 | free=0.02 base=0.87 [add=7.83 rem=0.00 (gather=0.00 unbury=0.00[scan=0.00 connect=0.00] cross=0.00)] tang=0.28 cut=0.13 | dirty=6/287
